project_id,product_name,project_class,final_object_type,owner_lane,closure_lane,production_state,production_complete,public_proof_surface_operational,harness_executes,regression_case_count,residual_required_slots,residual_present_slots,residual_missing_slots,residual_missing_files,blocking_gate_count,blocking_gates,blocking_gate_names,exclusion_reason,next_production_action
analytical-methodology,"Analytical Methodology - eleven discipline pages from a Georgetown Applied Intelligence curriculum, treating each analytical method as its own working surface",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,publication_readiness_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
master-bundle-atlas,Master Bundle Packet Promotion Atlas,source_or_evidence_system,source packet governance and project-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-fractal-keep-handoff-v1,Fractal Keep,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-hearthglass-handoff-v1,HearthGlass,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,manuscript_editorial_completion,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-infragard-handoff,InfraGard preparatory note (minimal),software_or_instrument,retrieval or evidence-evaluation platform,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-insinuationengineroom-handoff-done,Insinuation Engine,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-001,Internal Operating Support Packet 001,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-002,Internal Operating Support Packet 002,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-003,Internal Operating Support Packet 003,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-004,Internal Operating Support Packet 004,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-005,Internal Operating Support Packet 005,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-006,Internal Operating Support Packet 006,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-007,Internal Operating Support Packet 007,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-008,Internal Operating Support Packet 008,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-009,Internal Operating Support Packet 009,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-010,Internal Operating Support Packet 010,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-011,Internal Operating Support Packet 011,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-012,Internal Operating Support Packet 012,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-013,Internal Operating Support Packet 013,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-014,Internal Operating Support Packet 014,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-015,Internal Operating Support Packet 015,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-016,Internal Operating Support Packet 016,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-017,Internal Operating Support Packet 017,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-018,Internal Operating Support Packet 018,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-019,Internal Operating Support Packet 019,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-020,Internal Operating Support Packet 020,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-021,Internal Operating Support Packet 021,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-022,Internal Operating Support Packet 022,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-023,Internal Operating Support Packet 023,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-024,Internal Operating Support Packet 024,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-025,Internal Operating Support Packet 025,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-026,Internal Operating Support Packet 026,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-027,Internal Operating Support Packet 027,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-028,Internal Operating Support Packet 028,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-029,Internal Operating Support Packet 029,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-030,Internal Operating Support Packet 030,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-031,Internal Operating Support Packet 031,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-032,Internal Operating Support Packet 032,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-033,Internal Operating Support Packet 033,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-034,Internal Operating Support Packet 034,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-internal-operating-support-035,Internal Operating Support Packet 035,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
