project_id,product_name,project_class,final_object_type,owner_lane,closure_lane,production_state,production_complete,public_proof_surface_operational,harness_executes,regression_case_count,residual_required_slots,residual_present_slots,residual_missing_slots,residual_missing_files,blocking_gate_count,blocking_gates,blocking_gate_names,exclusion_reason,next_production_action
mb-internal-operating-support-036,Internal Operating Support Packet 036,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),manuscript_or_publication,manuscript or editorial governance system,active_non_overlap,manuscript_editorial_completion,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-africa,Colonial Encounter in Africa,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aifailure-tax,AI Failure Taxonomy,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aigov-nav,AI Governance Navigator,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aiintel-cycle,AI Intelligence Cycle,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aiknowledge-prod,AI Knowledge Production,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aimodel-assess,AI Model Assessment,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aiosintnarr,AI OSINT Narrative Analysis,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aiprompt-eng,AI Prompt Engineering,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-aishared-instruments,AI Shared Instruments,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-amfp,Washington-Jefferson Era Foreign Policy,portfolio_project,portfolio room or research surface,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-analyst-assurance-desk,Analyst Assurance Desk,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-applied-history-lab,Applied History Lab,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-atanalysis,Analysis Tradecraft,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-berlin,Berlin Occupation Zones and Refugee Crisis,software_or_instrument,retrieval or evidence-evaluation platform,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-cicc,ICC Complementarity Case Room,portfolio_project,portfolio room or research surface,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-cmanalysis,Collection Management Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-crusades,Crusades and Mediterranean Order,portfolio_project,portfolio room or research surface,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-cyanalysis,Cyber Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-ddianalysis,Directorate Analysis Method,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-east-asia,East Asian War and Strategic Tradition,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-emt,Emergency Triage Simulator,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-etanalysis,Emerging Technology Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-fwanalysis,Foreign Warning Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-habitat,Volunteer Build-Day Coordination,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-hsanalysis,Homeland Security Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-icanalysis,Intelligence Community Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-london,Colonial Archive Explorer,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-master-bundle-pages,Master Bundle Pages,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-mideast,Ottoman Palestine and Early Zionism,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-mongol,Mongol Empire Military Systems,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-peace,Track II Diplomacy and Peacebuilding,portfolio_project,portfolio room or research surface,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-pharm,Vaccine Distribution Planner,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-psanalysis,Political Strategy Analysis,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,live_case_calibration,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-respite,Recovery Respite Facility Operations,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-russia,Russia,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-russia-history-room,Russia Historical Context Room,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-russia-security-desk,Russia Security Desk,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-trilogy-showcase,Book Trilogy Showcase,manuscript_or_publication,manuscript or editorial governance system,active_non_overlap,manuscript_editorial_completion,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-trilogy-showcase-atlas,Book Trilogy Atlas,software_or_instrument,analytic method or human-AI evaluation module,active_non_overlap,manuscript_editorial_completion,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-uscri,Refugee Resettlement Resource Allocation,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-war-theory,War Theory and Strategic Culture,portfolio_project,portfolio room or research surface,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-wargaming,Alliance Crisis Wargaming,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
native-western,Western Political Thought and the Ideal State,software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,source_or_evidence_system,source governance or packet-routing system,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",software_or_instrument,research workflow software module,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,portfolio_project,research project or professional workbench,active_non_overlap,publication_readiness_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,software_or_instrument,retrieval or evidence-evaluation platform,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
russia-desk,Russia Source-To-Judgment Desk,portfolio_project,regional analytic workstation,active_non_overlap,runtime_deployment_validation,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
trilogy,Book Trilogy Manuscript Governance System,manuscript_or_publication,manuscript governance and chapter-upgrade system,active_non_overlap,manuscript_editorial_completion,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,portfolio_project,research project or professional workbench,active_non_overlap,source_verification_external_review,production_complete,yes,yes,yes,3,4,4,0,,0,,,,"Maintain regression, reviewer, and deployment evidence; no blocking action recorded."
