project_id,project_title,product_name,project_kind,final_object_type,build_mode,runtime_target,operational_end_state,full_build_definition,minimum_operational_release,required_modules_to_build,source_application_count,passage_contract_count,source_status,source_actions_before_claim,test_suite,acceptance_tests,readiness_score,promotion_stage,current_status,launch_or_review_path,first_full_build,next_implementation_steps,public_claim_now,blocking_gates,claim_boundary,contract_href,flagship
master-bundle-atlas,Master Bundle Atlas - 152 source and handoff packets,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,source packet governance and project-routing system,source governance build,"packet registry with extraction, authority, route, duplicate-risk, and promotion-decision fields","A large archive can be converted into governed build inputs by assigning each packet identity, source state, authority, project route, and next action.","A source or packet system with inventory, provenance, authority status, routing logic, claim ceiling, promotion rule, and reconciliation tests.","A promotion-ready source packet for Master Bundle Packet Promotion Atlas: inventory, authority classification, routing rule, claim ceiling, and reconciliation report.",packet registry | extraction status | authority and supersession classifier | duplicate-risk checker | project route selector | promotion decision board,7,0,7 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | promotion test: item cannot advance without identity, authority, route, and next action","Reconcile register against files; verify authority classification, routing decision, duplicate/supersession handling, and citation boundary.",89,full-build candidate; execute minimum operational release next,source-backed proof build; needs source-to-output capture and close-read strengthening,"Open the source packet contract for `master-bundle-atlas`, reconcile source inventory, and render the promotion decision.",Run one packet through canonical/derivative/archive/build-now classification and capture the next action.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"May claim a full-build candidate exists with proof and source contracts; do not claim deployment, outside validation, or production readiness until live execution and passage verification are recorded.",live capture and outside-use evidence before deployment or validation claims,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/master-bundle-atlas/index.html,yes
native-poison-rag,Retrieval Integrity and Poisoning Defense,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,adversarial retrieval-security evaluation platform,software or application build,"scenario replay harness with clean/poisoned fixtures, retrieval trace, answer deformation, reviewer burden, and defense gates","A researcher can run clean baseline, slow poison, fast injection, and authority-wrapper attacks through a retrieval pipeline and inspect how contamination enters, moves, distorts, or is blocked.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Retrieval Integrity And Poison-RAG Evaluation Harness: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",adversarial fixture registry | source-admission gate | indexing and retrieval trace | answer deformation comparator | reviewer-burden estimator | block/narrow/abstain decision gate | replay ledger,7,0,7 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",89,full-build candidate; execute minimum operational release next,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `native-poison-rag`, then execute the fixture-to-output workflow and capture the result.","Build the mixed-speed Poison-RAG replay with slow poison, fast injection, authority wrapper, retrieval trace, and defense decision.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"May claim a full-build candidate exists with proof and source contracts; do not claim deployment, outside validation, or production readiness until live execution and passage verification are recorded.",captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/native-poison-rag/index.html,yes
poison-rag-defense-annex,Adversarial Evidence Corruption and Poison-RAG Defense - advisor technical annex for LLM-supported analytic judgment,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,future-work technical evaluation architecture,governed project build,miniature evaluation harness derived from the advisor annex,"The annex becomes a replayable research architecture: adversarial packet, retrieval trace, analyst validation, defensive gate, replay record, and claim boundary.","A governed deliverable with object type, source duties, proof artifact, review criteria, public claim boundary, and next implementation action.","A governed build slice for Adversarial Evidence Corruption Technical Annex Harness: artifact, source duty, proof output, acceptance check, and claim boundary.",annex scenario registry | adversarial evidence packet builder | human/LLM validation checkpoint | defensive gate | replay record | future-study claim boundary,8,0,8 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 8 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,"Verify artifact identity, source duty, proof output, acceptance check, and public claim boundary.",89,full-build candidate; execute minimum operational release next,specified proof plan; needs live or replayable demonstrator,Open the project contract for `poison-rag-defense-annex` and complete the first minimum operational release artifact.,Convert the advisor annex into one runnable evaluation capsule without representing it as completed empirical results.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"May claim a full-build candidate exists with proof and source contracts; do not claim deployment, outside validation, or production readiness until live execution and passage verification are recorded.",live capture and outside-use evidence before deployment or validation claims,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/poison-rag-defense-annex/index.html,yes
russia-desk,Russia Desk - two-page Russian intelligence-and-history analytical desk,Russia Source-To-Judgment Desk,analysis method / workstation,regional analytic workstation,software or application build,source-family to analytic-variable board with uncertainty and judgment gates,"A researcher can route Russia sources into actor interests, institutional constraints, strategic culture, deception patterns, force posture, uncertainty limits, and bounded analytic judgments.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Russia Source-To-Judgment Desk: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",source-family registry | actor interest model | institutional constraint model | strategic culture and deception pattern fields | force posture notes | uncertainty limits | judgment gate,7,0,7 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",89,full-build candidate; execute minimum operational release next,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `russia-desk`, then execute the fixture-to-output workflow and capture the result.",Run one source family into a visible source-to-variable-to-judgment chain.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"May claim a full-build candidate exists with proof and source contracts; do not claim deployment, outside validation, or production readiness until live execution and passage verification are recorded.",captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/russia-desk/index.html,yes
trilogy,"Book Trilogy - Security, Dialectic, Repair : a three-book governed arc on dangerous power, democratic formation, and political repair after harm (the full manuscript corpus across 72 chapters)",Book Trilogy Manuscript Governance System,book / manuscript system,manuscript governance and chapter-upgrade system,manuscript and publication system,"chapter dossier system with argument, source, title, voice, visual, and handoff gates","Each of 72 chapters carries a public title, argument backbone, source burden, book-specific voice rule, visual identity, revision status, and handoff to adjacent chapters.","A manuscript system with chapter or section structure, source-governed argument logic, revision state, passage targets, reader-facing output, and publication-readiness checks.","A chapter or manuscript release slice for Book Trilogy Manuscript Governance System: outline, argument state, source/passages used, revision rules, public title logic, and next reader-facing output.",chapter dossier registry | argument backbone field | source state and close-read queue | voice/register constitution | visual-title governance | cross-chapter handoff | revision status,7,0,7 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 7 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | chapter uniqueness test: title, visual, source, and argument are chapter-specific","Inspect outline, source/passages, argument movement, revision status, public title logic, and continuity with the declared book or publication role.",89,full-build candidate; execute minimum operational release next,specified proof plan; needs live or replayable demonstrator,"Open the manuscript/project contract for `trilogy`, select one chapter or section, and produce a source-bound release slice.",Build one complete representative dossier per book and then scale the same fields across all 72 chapters.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,"May claim a full-build candidate exists with proof and source contracts; do not claim deployment, outside validation, or production readiness until live execution and passage verification are recorded.",live capture and outside-use evidence before deployment or validation claims,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/trilogy/index.html,yes
analytical-methods,"Structured Methods Library - method-composition page across Heuer, structured analytic techniques, and intelligence methodology",Structured Analytic Technique Studio,analysis method / workstation,method-composition and evaluation software,software or application build,"method studio for composing SATs, testing fit, comparing outputs, and recording human-AI sequencing effects","A researcher can select or combine structured analytic techniques, apply them to a task, compare baseline and method-supported reasoning, and preserve the conditions under which each technique helped or failed.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Structured Analytic Technique Studio: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",SAT taxonomy | method-composition builder | task-method fit checker | baseline/method comparison | sequencing experiment ledger | human-AI collaboration result board,6,0,6 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",87,prototype-to-full-build; source and capture checks still govern release language,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `analytical-methods`, then execute the fixture-to-output workflow and capture the result.",Build a two-technique comparison on one analytic task and record where each technique changed the output.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/analytical-methods/index.html,yes
native-capstone-quantitative,Quantitative Capstone Workbench,Quantitative Capstone Workbench,future quantitative experiment apparatus,source governance or packet-routing system,research publication build,"packet registry, routing table, and promotion decision board","A reviewer can see source identity, authority, route, output impact, and next build decision.","A research packet with question, method, evidence, source utilization, analysis plan, limitations, artifact outputs, review gates, and submission or conference-readiness criteria.","A reviewable research packet for Quantitative Capstone Workbench: research question, design, evidence map, analysis plan, limitations, source-use table, and next empirical or publication step.",source registry | output mapping | claim boundary | close-read queue,6,0,6 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy,"Verify that the question, design, evidence, analysis plan, limitations, and source use support only the claims currently made.",87,prototype-to-full-build; source and capture checks still govern release language,source-backed proof build; needs source-to-output capture and close-read strengthening,"Open the project contract for `native-capstone-quantitative`, assemble the research packet, and run source, method, and claim-boundary checks.","Separate proposed conditions, scoring variables, reliability checks, and disconfirmation rules from any result claims; then add one simulated run artifact.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,live capture and outside-use evidence before deployment or validation claims,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/native-capstone-quantitative/index.html,yes
native-magnum-opus,Magnum Opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,local scholarly retrieval and evidence-warrant software,software or application build,"local corpus service with index, retrieval trace, scoring, negative-space, abstention, and citation/export layer","A researcher can ask a question against a local scholarly corpus, inspect retrieved passages, see what the corpus does not support, receive an evidence score, and export only claims that remain inside the source warrant.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Magnum Opus Scholarly Retrieval And Warrant System: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",corpus registry | index and retrieval service | passage trace viewer | evidence scoring | negative-space detector | abstention policy | citation/export boundary,6,0,6 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | retrieval replay test: clean and contaminated fixtures produce inspectable traces | state-transition test: visible input changes recorded state and output,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",87,prototype-to-full-build; source and capture checks still govern release language,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `native-magnum-opus`, then execute the fixture-to-output workflow and capture the result.","Build a public-safe retrieval trace with corpus boundary, retrieved passages, evidence score, negative-space finding, abstention, and claim ceiling.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/native-magnum-opus/index.html,yes
row10,Analyst Workstation - eight-page interactive AI-augmented intelligence-analysis handbook,Structured Human-AI Analyst Workstation,human-AI analysis workstation,human-in-the-loop analytic workstation,software or application build,"interactive analysis application with SAT registry, baseline-vs-reviewed output, confidence delta, and release decision","An analyst can run an AI output through structured analytic techniques, record human corrections, compare confidence, identify residual disagreement, and decide whether to release, narrow, or block the result.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Structured Human-AI Analyst Workstation: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",SAT method registry | baseline AI output intake | structured review board | human correction ledger | confidence delta tracker | release decision gate,6,0,6 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 6 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output","Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",87,prototype-to-full-build; source and capture checks still govern release language,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `row10`, then execute the fixture-to-output workflow and capture the result.","Build one SAT comparison board: baseline AI answer, structured technique pass, human delta, confidence boundary, and release decision.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/row10/index.html,yes
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,analytic method or human-AI evaluation module,analytic instrument build,structured public page plus project-specific data packet and proof runner,"A user can apply a method, compare baseline and method-supported reasoning, record human judgment, and preserve the claim boundary.","An instrument with input, rule or rubric, analyst action, scoring or classification output, replay log, falsifier, and evidence-bound acceptance criteria.","A usable instrument for Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis: sample input, analytic rule, analyst or model action, output, scoring or review gate, and falsification test.",baseline answer | structured review | human delta | confidence gate,5,0,5 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.","claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | human-AI delta test: structured human review changes, narrows, blocks, or justifies output","Run the instrument on a sample input; verify rule application, output trace, scoring/review decision, falsifier, and claim ceiling.",84,prototype-to-full-build; source and capture checks still govern release language,source-backed proof build; needs source-to-output capture and close-read strengthening,"Open the instrument contract for `algorithmic-active-measures`, run the sample input through the rule/rubric, and capture the output and falsifier.",Make the public-safe bridge from tradecraft to data poisoning explicit enough that the study's distinctive mechanism is visible.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,live capture and outside-use evidence before deployment or validation claims,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/algorithmic-active-measures/index.html,yes
native-murano,Murano,MuranoOS Research Operating Environment,software operating environment,local research operating system / workstation builder,software or application build,"desktop or local web application with room registry, instruments, state database, agents, handoffs, and export gates","A researcher can create project-specific rooms, use instruments, record decisions, route work between departments or agents, preserve state, and export professional work products under review gates.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of MuranoOS Research Operating Environment: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",room registry | instrument registry | state database | agent or department handoff bus | review gate | export boundary | project workstation template system,5,0,5 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",84,prototype-to-full-build; source and capture checks still govern release language,specified proof plan; needs live or replayable demonstrator,"Create or open the local runtime slice for `native-murano`, then execute the fixture-to-output workflow and capture the result.","Show one project moving through room selection, instrument execution, state update, department handoff, review gate, and export.",1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/native-murano/index.html,yes
row7,Discovery Engine - eight-stage cross-disciplinary research-question discovery apparatus,Nexus Research Pipeline,research workflow software,reusable research-pipeline software,software or application build,local-first web or desktop application with a graph-backed research-stage dependency model,"A researcher can start with a seed question, discover transferable mechanisms from other fields, pressure-test analogies, move the result through academic research stages, and see downstream sections marked stale when upstream claims, methods, or evidence change.","A runnable local or web application with a defined user flow, input fixture, persisted or exportable output, source-bound mechanism, acceptance tests, and a reviewer-visible claim ceiling.","A runnable slice of Nexus Research Pipeline: one complete workflow from input to output, with fixture, state record, export, acceptance test, and source-bound claim boundary.",Observatory intake and problem decomposition | Scanner and source-field discovery | Bridge mechanism-transfer mapper | Cross-Pollination and XPol fit-pressure tester | Incubator research-object builder | Forge writing/export gate | stage-dependency stale-state engine,5,0,5 source-application rows; 0 active passage contracts; 0 unlocated source candidates.,"Carry 5 source-application role(s) into the first build release and convert the most load-bearing source into a close-read contract before any quotation, page-specific citation, or strong literature-positioning claim.",claim ceiling test: public claims cannot exceed built evidence | source test: metadata-routed sources require close reading before citation or quotation | privacy test: no local paths or private directories in public deploy | state-transition test: visible input changes recorded state and output | dependency test: upstream change marks downstream work stale,"Open or run the application slice; feed the fixture; verify output artifact, state persistence or export, error boundary, and source-governed acceptance condition.",84,prototype-to-full-build; source and capture checks still govern release language,file-backed proof build; needs live reviewer capture for stronger public demonstration,"Create or open the local runtime slice for `row7`, then execute the fixture-to-output workflow and capture the result.",Implement a live seed-question walkthrough with one cross-field transfer and one downstream stale-state propagation.,1. create or confirm runtime data schema; 2. implement one end-to-end fixture; 3. capture proof artifact; 4. run source and claim-ceiling gates; 5. publish reviewer-safe demo,May claim a prototype-to-full-build path exists; do not claim completed operational system.,captured runnable workflow,"This is a full-build plan, not a claim that the full operational system has already been completed.",project_contracts/row7/index.html,yes
