project_id,surface_type,closure_lane,local_closure_possible,external_or_human_required,default_closure_status,packet_hash,remaining_gate
applied-history,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,e72684e69b048080,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-aiprompt-eng,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,5cfdcd46e751f4f0,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-analyst-assurance-desk,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d6a0c64e8ccebc29,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-berlin,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,725f59d67346b7d8,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d4da1fa83e17cb64,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-history-room,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,5a7c7d389e915c48,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
row6,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,1074c5c8413b475b,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
cognitive-warfare,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,b413111e8c677b8f,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
historical-studies,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,b60db2d93fd6f0a4,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
ir-lexicon,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d41f8c346d20e123,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-africa,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,e69379eb9f307a03,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-east-asia,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,72b0fd9036379d13,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mideast,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,cfc8a6dccfe2db3c,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mongol,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,3e94a6c2c76a7dbb,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-western,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,9abfa68885dc0a57,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
russia-desk,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,cad3cfb794223ab8,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
analytical-methodology,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,7da8b0f7e7475a14,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
regional-studies,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,af3c2fd32663eab8,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
decision-advantage-system,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,a5965cd001f609fe,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-dialectic-engine-room-pass1-handoff,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,dc73b06861b7216f,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-security-desk,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,d476c5f33a7ac9e9,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-infragard-handoff,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,8982fbee94a2b7a5,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-insinuationengineroom-handoff-done,runtime_slice,runtime_deployment_validation,partial,yes,not_closed,c04fb9fea994d7ad,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-nik-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,cf0616940ec27531,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-intelligence-analysis-final-handoff,review_workbench,source_verification_external_review,partial,yes,not_closed,815224e85764eb88,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russian-reference-handoff-final,review_workbench,source_verification_external_review,partial,yes,not_closed,fb318d57ba821301,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-visible-chat-handoff-package,review_workbench,source_verification_external_review,partial,yes,not_closed,25ada5dfe8c16bdd,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aigov-nav,review_workbench,source_verification_external_review,partial,yes,not_closed,8d2e9000456560f4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiintel-cycle,review_workbench,source_verification_external_review,partial,yes,not_closed,47f1249b62e8190d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiknowledge-prod,review_workbench,source_verification_external_review,partial,yes,not_closed,56dde081dee9d455,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aishared-instruments,review_workbench,source_verification_external_review,partial,yes,not_closed,0039712ab1431b2f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-cicc,review_workbench,source_verification_external_review,partial,yes,not_closed,c3e30432e74a641d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-crusades,review_workbench,source_verification_external_review,partial,yes,not_closed,dcb761cc83de1073,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-peace,review_workbench,source_verification_external_review,partial,yes,not_closed,7aec11d9bc7e0cc0,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-war-theory,review_workbench,source_verification_external_review,partial,yes,not_closed,74f1ae66f3602634,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
cognitive-firewall-instruments,review_workbench,publication_readiness_review,partial,yes,not_closed,7bdce03f4b3bba22,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
master-bundle-atlas,review_workbench,source_verification_external_review,partial,yes,not_closed,46c4706713d98235,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-amfp,review_workbench,source_verification_external_review,partial,yes,not_closed,4b18357f12e70d75,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-trilogy-showcase,review_workbench,manuscript_editorial_completion,yes,recommended,not_closed,9b5944a1a5a607f3,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-trilogy-showcase-atlas,review_workbench,manuscript_editorial_completion,yes,recommended,not_closed,16d41d7dd1a9484a,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
reflexive-control-chamber,review_workbench,source_verification_external_review,partial,yes,not_closed,281c31770cc5469f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
row2,review_workbench,publication_readiness_review,partial,yes,not_closed,f1af37c30c031efa,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
trilogy,review_workbench,manuscript_editorial_completion,yes,recommended,not_closed,a39a17f0d94f0eb5,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
bias-atlas,review_workbench,live_case_calibration,partial,yes,not_closed,e1bf10890561f588,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
genocide-lab,review_workbench,live_case_calibration,partial,yes,not_closed,220c82b52909010a,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,review_workbench,manuscript_editorial_completion,yes,recommended,not_closed,0cbbb82bc8e29d14,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-aifailure-tax,review_workbench,live_case_calibration,partial,yes,not_closed,e6703906ee2f2553,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-aimodel-assess,review_workbench,source_verification_external_review,partial,yes,not_closed,968a10c6d3ef1c8c,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiosintnarr,review_workbench,source_verification_external_review,partial,yes,not_closed,ce4bb2ca9d2e757a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-atanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,1c01a44beaa90d85,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cmanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,cabe021ef15ada61,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cyanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,ca30853a4e29bc99,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-ddianalysis,review_workbench,live_case_calibration,partial,yes,not_closed,276928c10fcf2134,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-etanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,3ed1258d5e4ab3f7,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-fwanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,1600692cd30ecf2b,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-hsanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,f23db169b87233ce,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-icanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,6237b6fe0e81f0e8,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-psanalysis,review_workbench,live_case_calibration,partial,yes,not_closed,b0c9f82adae4a0f3,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-wargaming,review_workbench,source_verification_external_review,partial,yes,not_closed,a7cf040a865680c0,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
wargaming,review_workbench,source_verification_external_review,partial,yes,not_closed,617c103ef71731b4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
critical-functions-observatory,review_workbench,source_verification_external_review,partial,yes,not_closed,cb815192768e2f6b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-security-handoff-packet-done,review_workbench,source_verification_external_review,partial,yes,not_closed,2b3e773f26a3afb2,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-narrative-furnace-handoff-pack-2026-04-14,review_workbench,source_verification_external_review,partial,yes,not_closed,d6191fbaa9c7353e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-zip-2026-04-14,review_workbench,source_verification_external_review,partial,yes,not_closed,34a31c799357ab2d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-six-project-hardening-handoff-done-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,76ade4e1b60af80e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-speechwriting-handoff-packet,review_workbench,source_verification_external_review,partial,yes,not_closed,c28dc4bd26aa850e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-cognitive-firewalls-foundry-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,a04e5fe51d0be0ec,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-packet1-proper-handoff-done,review_workbench,source_verification_external_review,partial,yes,not_closed,22b4eb427f1e5a71,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-london,review_workbench,source_verification_external_review,partial,yes,not_closed,b7759abd7f3b2560,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-hearthglass-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,c29e5ca8dff20576,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-isc-symposium-command-room-handoff-pass3-done,review_workbench,source_verification_external_review,partial,yes,not_closed,8aa93b1aa84f28cf,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-the-interval-chamber-of-refraction-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,408877331be9675e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-counter-idiom-lab-proper-handoff-done,review_workbench,source_verification_external_review,partial,yes,not_closed,a3b5de280c735d4f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-foreign-affairs-lexicon-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,ffa44b2ff197b50c,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-georgetown-ic-handoff-done,review_workbench,source_verification_external_review,partial,yes,not_closed,0f77f7c2ca333785,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-gotham-lossless-replacement-archive-2026-04-15,review_workbench,source_verification_external_review,partial,yes,not_closed,fe2d2e50ce8f7932,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-003,review_workbench,source_verification_external_review,partial,yes,not_closed,cd72e8dc0f58a8e4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-004,review_workbench,source_verification_external_review,partial,yes,not_closed,05da2139ef111fdb,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-007,review_workbench,source_verification_external_review,partial,yes,not_closed,e286ce0ae05dd825,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-008,review_workbench,source_verification_external_review,partial,yes,not_closed,79b170d62ea8869f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-011,review_workbench,source_verification_external_review,partial,yes,not_closed,37a4b764dfa210ef,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-012,review_workbench,source_verification_external_review,partial,yes,not_closed,efeadfec3fadb55b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-015,review_workbench,source_verification_external_review,partial,yes,not_closed,7ee6b107dd6418d5,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-016,review_workbench,source_verification_external_review,partial,yes,not_closed,1823dda6f930a5b6,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-019,review_workbench,source_verification_external_review,partial,yes,not_closed,47cc8ded79898e85,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-020,review_workbench,source_verification_external_review,partial,yes,not_closed,40a42e70f2c3efcc,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-023,review_workbench,source_verification_external_review,partial,yes,not_closed,87f95539887b9be7,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-024,review_workbench,source_verification_external_review,partial,yes,not_closed,f223134a470312f4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-027,review_workbench,source_verification_external_review,partial,yes,not_closed,752483be3f77bd21,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-028,review_workbench,source_verification_external_review,partial,yes,not_closed,1ef9fb34be65563b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-031,review_workbench,source_verification_external_review,partial,yes,not_closed,88dca0a99b780f03,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-032,review_workbench,source_verification_external_review,partial,yes,not_closed,1af5b0a7cc69f195,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-035,review_workbench,source_verification_external_review,partial,yes,not_closed,c470b9fc629b6dd9,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-036,review_workbench,source_verification_external_review,partial,yes,not_closed,b85bd7e22dd83de9,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-sophisticated-expression-lexicon-handoff,review_workbench,source_verification_external_review,partial,yes,not_closed,67964e90fbdb52ad,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ic-analyst-portfolio-handoff-pass1,review_workbench,source_verification_external_review,partial,yes,not_closed,5b5e7b6aeb5bce67,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-individual-democratic-dialectic-final-handoff-done,review_workbench,source_verification_external_review,partial,yes,not_closed,9a7019e3bee9f327,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ukraine-handoff-packet,review_workbench,source_verification_external_review,partial,yes,not_closed,82aa3c552520a173,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-briefingforgeroom-handoff-pass4-done,review_workbench,source_verification_external_review,partial,yes,not_closed,9604d05ea48a5c85,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-genocide-systems-lab-handoff-v1-0,review_workbench,source_verification_external_review,partial,yes,not_closed,b24a8cb27566a46c,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-rhetoric-final,review_workbench,source_verification_external_review,partial,yes,not_closed,269cf5878d55cff3,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-fractal-keep-handoff-v1,review_workbench,source_verification_external_review,partial,yes,not_closed,a12d5f34f54e6928,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-001,review_workbench,source_verification_external_review,partial,yes,not_closed,3660e93db61f74da,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-002,review_workbench,source_verification_external_review,partial,yes,not_closed,7da73a03a5e2bcb0,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-005,review_workbench,source_verification_external_review,partial,yes,not_closed,040583f0be4f01c9,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-006,review_workbench,source_verification_external_review,partial,yes,not_closed,4eeff51998dac0ab,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-009,review_workbench,source_verification_external_review,partial,yes,not_closed,1e3dfc3d32ad634d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-010,review_workbench,source_verification_external_review,partial,yes,not_closed,ab7471f0547500d3,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-013,review_workbench,source_verification_external_review,partial,yes,not_closed,318ae6657d34a332,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-014,review_workbench,source_verification_external_review,partial,yes,not_closed,3ca7aa621b41715d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-017,review_workbench,source_verification_external_review,partial,yes,not_closed,1378e9471635b047,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-018,review_workbench,source_verification_external_review,partial,yes,not_closed,07e5b4686d1c04b8,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-021,review_workbench,source_verification_external_review,partial,yes,not_closed,8d3f0ca241127f3f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-022,review_workbench,source_verification_external_review,partial,yes,not_closed,8ecbebac9e2d411f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-025,review_workbench,source_verification_external_review,partial,yes,not_closed,58fba54f726985b4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-026,review_workbench,source_verification_external_review,partial,yes,not_closed,56152ac9de4d8a63,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-029,review_workbench,source_verification_external_review,partial,yes,not_closed,e01ab7705e7837a6,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-030,review_workbench,source_verification_external_review,partial,yes,not_closed,fde2d74d2fd62caa,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-033,review_workbench,source_verification_external_review,partial,yes,not_closed,65b749221ee6312f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-034,review_workbench,source_verification_external_review,partial,yes,not_closed,2c97735dc4bdbf6b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-package-2026-04-14,review_workbench,source_verification_external_review,partial,yes,not_closed,562853e36c73e1a6,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-rfp-handoff-ch01-02-done,review_workbench,manuscript_editorial_completion,yes,recommended,not_closed,85687fda39ba71f0,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
mb-wargaming-handoff-pass1,review_workbench,source_verification_external_review,partial,yes,not_closed,7dd78e14c275ab8a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-applied-history-lab,review_workbench,source_verification_external_review,partial,yes,not_closed,f5cb8bf3e324755e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-emt,review_workbench,source_verification_external_review,partial,yes,not_closed,f2a887135d499feb,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-habitat,review_workbench,source_verification_external_review,partial,yes,not_closed,0d3b2098ce231414,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-master-bundle-pages,review_workbench,source_verification_external_review,partial,yes,not_closed,5a7891f58ad2f911,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-pharm,review_workbench,source_verification_external_review,partial,yes,not_closed,908918fe9d2219bc,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-respite,review_workbench,source_verification_external_review,partial,yes,not_closed,e5754b09a462424a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-uscri,review_workbench,source_verification_external_review,partial,yes,not_closed,fc825bf3e815ba0e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
red-team-lab,review_workbench,source_verification_external_review,partial,yes,not_closed,659b06bc8346f6f2,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
