project_id,closure_lane,required_slot_count,validator_status,promotion_allowed,vault_href
applied-history,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/applied-history/index.html
native-aiprompt-eng,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-aiprompt-eng/index.html
native-analyst-assurance-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-analyst-assurance-desk/index.html
native-berlin,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-berlin/index.html
native-russia,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia/index.html
native-russia-history-room,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia-history-room/index.html
row6,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/row6/index.html
cognitive-warfare,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/cognitive-warfare/index.html
historical-studies,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/historical-studies/index.html
ir-lexicon,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/ir-lexicon/index.html
native-africa,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-africa/index.html
native-east-asia,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-east-asia/index.html
native-mideast,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-mideast/index.html
native-mongol,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-mongol/index.html
native-western,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-western/index.html
russia-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/russia-desk/index.html
analytical-methodology,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/analytical-methodology/index.html
regional-studies,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/regional-studies/index.html
decision-advantage-system,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/decision-advantage-system/index.html
mb-dialectic-engine-room-pass1-handoff,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-dialectic-engine-room-pass1-handoff/index.html
native-russia-security-desk,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/native-russia-security-desk/index.html
mb-infragard-handoff,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-infragard-handoff/index.html
mb-insinuationengineroom-handoff-done,runtime_deployment_validation,4,evidence_missing,no,../non_overlap_residual_evidence_vaults/vaults/mb-insinuationengineroom-handoff-done/index.html
mb-nik-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-nik-handoff-v1/index.html
mb-russia-intelligence-analysis-final-handoff,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-russia-intelligence-analysis-final-handoff/index.html
mb-russian-reference-handoff-final,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-russian-reference-handoff-final/index.html
mb-visible-chat-handoff-package,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-visible-chat-handoff-package/index.html
native-aigov-nav,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aigov-nav/index.html
native-aiintel-cycle,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aiintel-cycle/index.html
native-aiknowledge-prod,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aiknowledge-prod/index.html
native-aishared-instruments,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aishared-instruments/index.html
native-cicc,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-cicc/index.html
native-crusades,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-crusades/index.html
native-peace,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-peace/index.html
native-war-theory,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-war-theory/index.html
cognitive-firewall-instruments,publication_readiness_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/cognitive-firewall-instruments/index.html
master-bundle-atlas,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/master-bundle-atlas/index.html
native-amfp,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-amfp/index.html
native-trilogy-showcase,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-trilogy-showcase/index.html
native-trilogy-showcase-atlas,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-trilogy-showcase-atlas/index.html
reflexive-control-chamber,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/reflexive-control-chamber/index.html
row2,publication_readiness_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/row2/index.html
trilogy,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/trilogy/index.html
bias-atlas,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/bias-atlas/index.html
genocide-lab,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/genocide-lab/index.html
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/index.html
native-aifailure-tax,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aifailure-tax/index.html
native-aimodel-assess,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aimodel-assess/index.html
native-aiosintnarr,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-aiosintnarr/index.html
native-atanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-atanalysis/index.html
native-cmanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-cmanalysis/index.html
native-cyanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-cyanalysis/index.html
native-ddianalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-ddianalysis/index.html
native-etanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-etanalysis/index.html
native-fwanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-fwanalysis/index.html
native-hsanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-hsanalysis/index.html
native-icanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-icanalysis/index.html
native-psanalysis,live_case_calibration,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-psanalysis/index.html
native-wargaming,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-wargaming/index.html
wargaming,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/wargaming/index.html
critical-functions-observatory,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/critical-functions-observatory/index.html
mb-russia-security-handoff-packet-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-russia-security-handoff-packet-done/index.html
mb-narrative-furnace-handoff-pack-2026-04-14,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-narrative-furnace-handoff-pack-2026-04-14/index.html
mb-redteamlab-proper-handoff-zip-2026-04-14,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-redteamlab-proper-handoff-zip-2026-04-14/index.html
mb-six-project-hardening-handoff-done-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-six-project-hardening-handoff-done-v1/index.html
mb-speechwriting-handoff-packet,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-speechwriting-handoff-packet/index.html
mb-cognitive-firewalls-foundry-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-cognitive-firewalls-foundry-handoff-v1/index.html
mb-redteamlab-packet1-proper-handoff-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-redteamlab-packet1-proper-handoff-done/index.html
native-london,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-london/index.html
mb-hearthglass-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-hearthglass-handoff-v1/index.html
mb-isc-symposium-command-room-handoff-pass3-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-isc-symposium-command-room-handoff-pass3-done/index.html
mb-the-interval-chamber-of-refraction-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-the-interval-chamber-of-refraction-handoff-v1/index.html
mb-counter-idiom-lab-proper-handoff-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-counter-idiom-lab-proper-handoff-done/index.html
mb-foreign-affairs-lexicon-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-foreign-affairs-lexicon-handoff-v1/index.html
mb-georgetown-ic-handoff-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-georgetown-ic-handoff-done/index.html
mb-gotham-lossless-replacement-archive-2026-04-15,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-gotham-lossless-replacement-archive-2026-04-15/index.html
mb-internal-operating-support-003,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-003/index.html
mb-internal-operating-support-004,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-004/index.html
mb-internal-operating-support-007,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-007/index.html
mb-internal-operating-support-008,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-008/index.html
mb-internal-operating-support-011,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-011/index.html
mb-internal-operating-support-012,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-012/index.html
mb-internal-operating-support-015,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-015/index.html
mb-internal-operating-support-016,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-016/index.html
mb-internal-operating-support-019,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-019/index.html
mb-internal-operating-support-020,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-020/index.html
mb-internal-operating-support-023,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-023/index.html
mb-internal-operating-support-024,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-024/index.html
mb-internal-operating-support-027,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-027/index.html
mb-internal-operating-support-028,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-028/index.html
mb-internal-operating-support-031,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-031/index.html
mb-internal-operating-support-032,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-032/index.html
mb-internal-operating-support-035,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-035/index.html
mb-internal-operating-support-036,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-036/index.html
mb-sophisticated-expression-lexicon-handoff,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-sophisticated-expression-lexicon-handoff/index.html
mb-ic-analyst-portfolio-handoff-pass1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-ic-analyst-portfolio-handoff-pass1/index.html
mb-individual-democratic-dialectic-final-handoff-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-individual-democratic-dialectic-final-handoff-done/index.html
mb-ukraine-handoff-packet,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-ukraine-handoff-packet/index.html
mb-briefingforgeroom-handoff-pass4-done,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-briefingforgeroom-handoff-pass4-done/index.html
mb-comparative-genocide-systems-lab-handoff-v1-0,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-comparative-genocide-systems-lab-handoff-v1-0/index.html
mb-comparative-rhetoric-final,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-comparative-rhetoric-final/index.html
mb-fractal-keep-handoff-v1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-fractal-keep-handoff-v1/index.html
mb-internal-operating-support-001,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-001/index.html
mb-internal-operating-support-002,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-002/index.html
mb-internal-operating-support-005,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-005/index.html
mb-internal-operating-support-006,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-006/index.html
mb-internal-operating-support-009,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-009/index.html
mb-internal-operating-support-010,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-010/index.html
mb-internal-operating-support-013,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-013/index.html
mb-internal-operating-support-014,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-014/index.html
mb-internal-operating-support-017,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-017/index.html
mb-internal-operating-support-018,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-018/index.html
mb-internal-operating-support-021,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-021/index.html
mb-internal-operating-support-022,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-022/index.html
mb-internal-operating-support-025,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-025/index.html
mb-internal-operating-support-026,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-026/index.html
mb-internal-operating-support-029,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-029/index.html
mb-internal-operating-support-030,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-030/index.html
mb-internal-operating-support-033,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-033/index.html
mb-internal-operating-support-034,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-internal-operating-support-034/index.html
mb-redteamlab-proper-handoff-package-2026-04-14,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-redteamlab-proper-handoff-package-2026-04-14/index.html
mb-rfp-handoff-ch01-02-done,manuscript_editorial_completion,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-rfp-handoff-ch01-02-done/index.html
mb-wargaming-handoff-pass1,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/mb-wargaming-handoff-pass1/index.html
native-applied-history-lab,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-applied-history-lab/index.html
native-emt,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-emt/index.html
native-habitat,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-habitat/index.html
native-master-bundle-pages,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-master-bundle-pages/index.html
native-pharm,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-pharm/index.html
native-respite,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-respite/index.html
native-uscri,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/native-uscri/index.html
red-team-lab,source_verification_external_review,4,evidence_complete_needs_review,yes,../non_overlap_residual_evidence_vaults/vaults/red-team-lab/index.html
