project_id,surface_type,public_proof_surface_operational,underlying_project_fully_operational,regression_case_count,certificate_hash,remaining_underlying_project_gate
applied-history,runtime_slice,True,False,3,1f6488d7bb259b25,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-aiprompt-eng,runtime_slice,True,False,3,4f452f40e115b599,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-analyst-assurance-desk,runtime_slice,True,False,3,095d001a0e5d2c65,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-berlin,runtime_slice,True,False,3,96bd0ab38d1a98ad,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia,runtime_slice,True,False,3,ea27c3d0a6891a3b,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-history-room,runtime_slice,True,False,3,c99c15c3017e39bb,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
row6,runtime_slice,True,False,3,df79eb824775d8ef,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
cognitive-warfare,runtime_slice,True,False,3,a74083e26be1a9ac,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
historical-studies,runtime_slice,True,False,3,89818609e620ae04,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
ir-lexicon,runtime_slice,True,False,3,cd463e08fa3f27e9,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-africa,runtime_slice,True,False,3,423da7fd26638e72,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-east-asia,runtime_slice,True,False,3,a54796d1e2ffb6d7,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mideast,runtime_slice,True,False,3,3eb5c697455a2acd,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-mongol,runtime_slice,True,False,3,8d92c3644ea218e2,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-western,runtime_slice,True,False,3,37ed09e969cfd5f6,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
russia-desk,runtime_slice,True,False,3,a6184c63ad1e7dba,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
analytical-methodology,runtime_slice,True,False,3,e9c7e7d1315e68ac,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
regional-studies,runtime_slice,True,False,3,4ee337b08630bc43,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
decision-advantage-system,runtime_slice,True,False,3,b3ad86f750a18d63,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-dialectic-engine-room-pass1-handoff,runtime_slice,True,False,3,4a2d721d38fbd907,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
native-russia-security-desk,runtime_slice,True,False,3,9d564579ebed534c,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-infragard-handoff,runtime_slice,True,False,3,b7565dcb7ef7e473,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-insinuationengineroom-handoff-done,runtime_slice,True,False,3,62102734f7e34368,"Needs repeated non-sample runs, browser screenshot evidence, reviewer validation, and deployment hardening before full operational standing."
mb-nik-handoff-v1,review_workbench,True,False,3,ab40f68e9cb2453e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-intelligence-analysis-final-handoff,review_workbench,True,False,3,1d2a7d58fe877691,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russian-reference-handoff-final,review_workbench,True,False,3,15aeb2373bccf2c0,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-visible-chat-handoff-package,review_workbench,True,False,3,7b9585be9137ca91,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aigov-nav,review_workbench,True,False,3,64196c13a306f0ef,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiintel-cycle,review_workbench,True,False,3,2ebb75637906aff4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiknowledge-prod,review_workbench,True,False,3,1a3eb2a5b40608cd,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aishared-instruments,review_workbench,True,False,3,588f13c0d960bbac,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-cicc,review_workbench,True,False,3,ca1305b931f17bf7,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-crusades,review_workbench,True,False,3,5e835d8f353a0858,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-peace,review_workbench,True,False,3,aeb737f2f3766c96,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-war-theory,review_workbench,True,False,3,acd97bcbf01ec967,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
cognitive-firewall-instruments,review_workbench,True,False,3,72ced74e6a955e6d,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
master-bundle-atlas,review_workbench,True,False,3,ac1a87ea9559c7ee,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-amfp,review_workbench,True,False,3,4d3d2a43935a9e28,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-trilogy-showcase,review_workbench,True,False,3,873af57301fdac80,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-trilogy-showcase-atlas,review_workbench,True,False,3,49e65bf1b7d21c89,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
reflexive-control-chamber,review_workbench,True,False,3,75a0bd53f617e69f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
row2,review_workbench,True,False,3,8a6318e4a7cb5434,"The package can capture claim-evidence-method structure, but publication readiness still requires full manuscript review and source verification."
trilogy,review_workbench,True,False,3,a01ad7c81a48c6ef,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
bias-atlas,review_workbench,True,False,3,23ba283d88f085bd,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
genocide-lab,review_workbench,True,False,3,b13ebef290638b22,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,review_workbench,True,False,3,5f750783c98921fb,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
native-aifailure-tax,review_workbench,True,False,3,ddb735652ac39565,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-aimodel-assess,review_workbench,True,False,3,84cf70a2db6ebeb0,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-aiosintnarr,review_workbench,True,False,3,95372db40d8d912a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-atanalysis,review_workbench,True,False,3,a51dc1293020b584,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cmanalysis,review_workbench,True,False,3,fa5485731ae94cdd,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-cyanalysis,review_workbench,True,False,3,0b4b69a18d764723,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-ddianalysis,review_workbench,True,False,3,3e23e2abf6f2af58,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-etanalysis,review_workbench,True,False,3,d21ebf138a324850,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-fwanalysis,review_workbench,True,False,3,3eb80e38ad045e00,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-hsanalysis,review_workbench,True,False,3,910112f960975b9c,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-icanalysis,review_workbench,True,False,3,e2e62f617e2fa71e,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-psanalysis,review_workbench,True,False,3,7a7ae8bc59f76451,"The package can capture input-method-output-review logic, but calibration against live cases or expert review remains pending."
native-wargaming,review_workbench,True,False,3,31f82bc6f29e3d5e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
wargaming,review_workbench,True,False,3,c5f405935b6baf76,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
critical-functions-observatory,review_workbench,True,False,3,df64a5299daabdc4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-russia-security-handoff-packet-done,review_workbench,True,False,3,9f51bbf02c621262,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-narrative-furnace-handoff-pack-2026-04-14,review_workbench,True,False,3,d438b39dae143527,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-zip-2026-04-14,review_workbench,True,False,3,ca6826fc2d16faa1,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-six-project-hardening-handoff-done-v1,review_workbench,True,False,3,cf6c7e6fc163aac3,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-speechwriting-handoff-packet,review_workbench,True,False,3,9c8a07c8419afd95,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-cognitive-firewalls-foundry-handoff-v1,review_workbench,True,False,3,f8d3bb4fa0881f40,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-packet1-proper-handoff-done,review_workbench,True,False,3,16ac8f5368dbcfb6,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-london,review_workbench,True,False,3,60a5e18294c49c7f,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-hearthglass-handoff-v1,review_workbench,True,False,3,1af6933bbad770ab,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-isc-symposium-command-room-handoff-pass3-done,review_workbench,True,False,3,40282ed8915225d8,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-the-interval-chamber-of-refraction-handoff-v1,review_workbench,True,False,3,8f6a4a5d19d87dea,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-counter-idiom-lab-proper-handoff-done,review_workbench,True,False,3,6214bf570991af16,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-foreign-affairs-lexicon-handoff-v1,review_workbench,True,False,3,0238b457aff17633,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-georgetown-ic-handoff-done,review_workbench,True,False,3,d23e1a4c22f2ddef,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-gotham-lossless-replacement-archive-2026-04-15,review_workbench,True,False,3,2f5673c1e968e368,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-003,review_workbench,True,False,3,b780b4868b558bc5,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-004,review_workbench,True,False,3,5deb2d4156033677,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-007,review_workbench,True,False,3,e2cc84662dbadeb2,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-008,review_workbench,True,False,3,bcb5d240288ebc2b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-011,review_workbench,True,False,3,ed060cc38e39b9ce,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-012,review_workbench,True,False,3,8707ff26a42534a4,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-015,review_workbench,True,False,3,4381edc398df80cd,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-016,review_workbench,True,False,3,5bcc842e676a0b14,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-019,review_workbench,True,False,3,344df876a403bfce,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-020,review_workbench,True,False,3,0f744f4a48c86e8b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-023,review_workbench,True,False,3,2a36a9f2005f2047,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-024,review_workbench,True,False,3,b45a7be91f45763d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-027,review_workbench,True,False,3,09197c1242b6f857,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-028,review_workbench,True,False,3,4e2d165c7c942b99,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-031,review_workbench,True,False,3,44cc8185120c351a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-032,review_workbench,True,False,3,2ecd64fb5cc16244,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-035,review_workbench,True,False,3,ca8c659473f34bbe,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-036,review_workbench,True,False,3,7a5c03e2a3fdcf5b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-sophisticated-expression-lexicon-handoff,review_workbench,True,False,3,235916e5beabf616,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ic-analyst-portfolio-handoff-pass1,review_workbench,True,False,3,c09407e14e071b1a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-individual-democratic-dialectic-final-handoff-done,review_workbench,True,False,3,a67f7d7b35d3bd2e,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-ukraine-handoff-packet,review_workbench,True,False,3,757fa92658318fa3,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-briefingforgeroom-handoff-pass4-done,review_workbench,True,False,3,1be4f03c7265e8a1,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-genocide-systems-lab-handoff-v1-0,review_workbench,True,False,3,b7e439b5c7c8f69b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-comparative-rhetoric-final,review_workbench,True,False,3,9b2b1f2ac7a0b75a,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-fractal-keep-handoff-v1,review_workbench,True,False,3,7351026f3e669778,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-001,review_workbench,True,False,3,5570d50a8e0cfbfe,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-002,review_workbench,True,False,3,f8adcca6bdbce31c,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-005,review_workbench,True,False,3,5332accc10a88689,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-006,review_workbench,True,False,3,e4bcb5eaccc3ae16,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-009,review_workbench,True,False,3,cb868ea01925ebe3,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-010,review_workbench,True,False,3,307e2fdf3be1d237,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-013,review_workbench,True,False,3,60471e0f9df81d3d,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-014,review_workbench,True,False,3,659c1f7b0119b0bd,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-017,review_workbench,True,False,3,097981c84d051038,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-018,review_workbench,True,False,3,a5a7567812c3a5ab,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-021,review_workbench,True,False,3,93ceb26915ae2925,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-022,review_workbench,True,False,3,5fc8d59d60f0cc51,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-025,review_workbench,True,False,3,0b9d89feb95f2a72,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-026,review_workbench,True,False,3,a7f4cea0db6e0da8,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-029,review_workbench,True,False,3,ec82728eff5d2456,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-030,review_workbench,True,False,3,158ce8a93509dc4c,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-033,review_workbench,True,False,3,bd16f00218d06e83,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-internal-operating-support-034,review_workbench,True,False,3,21ae5914dafa78ce,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-redteamlab-proper-handoff-package-2026-04-14,review_workbench,True,False,3,e290f5804f9ba26b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
mb-rfp-handoff-ch01-02-done,review_workbench,True,False,3,8534d8aa0c7d9332,"The package can capture argument and revision structure, but manuscript quality still requires close editorial execution."
mb-wargaming-handoff-pass1,review_workbench,True,False,3,bc292c99d7031722,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-applied-history-lab,review_workbench,True,False,3,f2dfc96cf44e2d67,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-emt,review_workbench,True,False,3,38f661d992c81128,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-habitat,review_workbench,True,False,3,df2ab8f1666b0d63,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-master-bundle-pages,review_workbench,True,False,3,1ce61eb2c280b19b,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-pharm,review_workbench,True,False,3,f40fddb55bb6f7d9,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-respite,review_workbench,True,False,3,55b81060a55d98b9,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
native-uscri,review_workbench,True,False,3,436f80da05edad15,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
red-team-lab,review_workbench,True,False,3,939d7393fb3625d5,"The package can capture identity, authority, route, and claim-ceiling logic, but source quotations and external validation still require human review."
