project_id,product_name,acceptance_decision,trace_hash,trace_href
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,PASS,eade6348ce711326,traces/mb-nik-handoff-v1/sample_review_trace.json
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),PASS,453cebc8d3871685,traces/mb-russia-intelligence-analysis-final-handoff/sample_review_trace.json
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,PASS,a57fbff25572d287,traces/mb-russian-reference-handoff-final/sample_review_trace.json
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,PASS,5f7a08600b5a9c72,traces/mb-visible-chat-handoff-package/sample_review_trace.json
native-aigov-nav,AI Governance Navigator,PASS,21da426379ab5ded,traces/native-aigov-nav/sample_review_trace.json
native-aiintel-cycle,AI Intelligence Cycle,PASS,55de65979cb9ec28,traces/native-aiintel-cycle/sample_review_trace.json
native-aiknowledge-prod,AI Knowledge Production,PASS,c84ad7f7f1792382,traces/native-aiknowledge-prod/sample_review_trace.json
native-aishared-instruments,AI Shared Instruments,PASS,59f1e83b612ad799,traces/native-aishared-instruments/sample_review_trace.json
native-cicc,ICC Complementarity Case Room,PASS,68d38ddaa6ca3cf6,traces/native-cicc/sample_review_trace.json
native-crusades,Crusades and Mediterranean Order,PASS,7b2703da640ddba6,traces/native-crusades/sample_review_trace.json
native-peace,Track II Diplomacy and Peacebuilding,PASS,84c07800fc000bb7,traces/native-peace/sample_review_trace.json
native-war-theory,War Theory and Strategic Culture,PASS,5d04e1ff53483e7d,traces/native-war-theory/sample_review_trace.json
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,PASS,804ac63628eb4aa5,traces/cognitive-firewall-instruments/sample_review_trace.json
master-bundle-atlas,Master Bundle Packet Promotion Atlas,PASS,d5496d93fd9a412c,traces/master-bundle-atlas/sample_review_trace.json
native-amfp,Washington-Jefferson Era Foreign Policy,PASS,10e6a22b06b0a2ca,traces/native-amfp/sample_review_trace.json
native-trilogy-showcase,Book Trilogy Showcase,PASS,da72126d8841ff24,traces/native-trilogy-showcase/sample_review_trace.json
native-trilogy-showcase-atlas,Book Trilogy Atlas,PASS,bc1234ad7a739f8d,traces/native-trilogy-showcase-atlas/sample_review_trace.json
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,PASS,a14a44d6162403f6,traces/reflexive-control-chamber/sample_review_trace.json
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,PASS,53a588e9012250be,traces/row2/sample_review_trace.json
trilogy,Book Trilogy Manuscript Governance System,PASS,18b83d4ff97cbabd,traces/trilogy/sample_review_trace.json
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,PASS,b4d5e6b6c467c26b,traces/bias-atlas/sample_review_trace.json
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,PASS,4b65b56d124e13cf,traces/genocide-lab/sample_review_trace.json
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,PASS,b0413be0bc81f441,traces/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/sample_review_trace.json
native-aifailure-tax,AI Failure Taxonomy,PASS,7539c81d89a2879d,traces/native-aifailure-tax/sample_review_trace.json
native-aimodel-assess,AI Model Assessment,PASS,e656a2396d4a0547,traces/native-aimodel-assess/sample_review_trace.json
native-aiosintnarr,AI OSINT Narrative Analysis,PASS,4e9dd7fd6e086c4b,traces/native-aiosintnarr/sample_review_trace.json
native-atanalysis,Analysis Tradecraft,PASS,9cb55496ee48c638,traces/native-atanalysis/sample_review_trace.json
native-cmanalysis,Collection Management Analysis,PASS,ca45fd1deacc0eb9,traces/native-cmanalysis/sample_review_trace.json
native-cyanalysis,Cyber Analysis,PASS,d20f82264b7bdefb,traces/native-cyanalysis/sample_review_trace.json
native-ddianalysis,Directorate Analysis Method,PASS,04a0140be43776bf,traces/native-ddianalysis/sample_review_trace.json
native-etanalysis,Emerging Technology Analysis,PASS,9de72a5da1c03b5c,traces/native-etanalysis/sample_review_trace.json
native-fwanalysis,Foreign Warning Analysis,PASS,8b5af90ac316777e,traces/native-fwanalysis/sample_review_trace.json
native-hsanalysis,Homeland Security Analysis,PASS,e6ee43341bb751cf,traces/native-hsanalysis/sample_review_trace.json
native-icanalysis,Intelligence Community Analysis,PASS,717bda6941e126a4,traces/native-icanalysis/sample_review_trace.json
native-psanalysis,Political Strategy Analysis,PASS,54f19762b4392d4b,traces/native-psanalysis/sample_review_trace.json
native-wargaming,Alliance Crisis Wargaming,PASS,1456fcf4c01fd409,traces/native-wargaming/sample_review_trace.json
wargaming,Wargaming - theater-level alliance-crisis wargame workbench,PASS,15dfde700119c354,traces/wargaming/sample_review_trace.json
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,PASS,964a8e34720346b7,traces/critical-functions-observatory/sample_review_trace.json
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,PASS,5f4c7aa4150affdc,traces/mb-russia-security-handoff-packet-done/sample_review_trace.json
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,PASS,8b18c5fd7b867ff3,traces/mb-narrative-furnace-handoff-pack-2026-04-14/sample_review_trace.json
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),PASS,977441e5f5ae2481,traces/mb-redteamlab-proper-handoff-zip-2026-04-14/sample_review_trace.json
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,PASS,ceb2a6242eabf64f,traces/mb-six-project-hardening-handoff-done-v1/sample_review_trace.json
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",PASS,dabcb318b7899041,traces/mb-speechwriting-handoff-packet/sample_review_trace.json
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,PASS,ec822ccb6505e8f9,traces/mb-cognitive-firewalls-foundry-handoff-v1/sample_review_trace.json
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,PASS,ccb07e5ce6656046,traces/mb-redteamlab-packet1-proper-handoff-done/sample_review_trace.json
native-london,Colonial Archive Explorer,PASS,3429575781f3f4e5,traces/native-london/sample_review_trace.json
mb-hearthglass-handoff-v1,HearthGlass,PASS,5b98221382958f13,traces/mb-hearthglass-handoff-v1/sample_review_trace.json
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,PASS,8e4702756119e2cf,traces/mb-isc-symposium-command-room-handoff-pass3-done/sample_review_trace.json
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,PASS,e434730a0cb1a291,traces/mb-the-interval-chamber-of-refraction-handoff-v1/sample_review_trace.json
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,PASS,cdee3cf36b2f6d13,traces/mb-counter-idiom-lab-proper-handoff-done/sample_review_trace.json
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,PASS,2b7c5509c9cfac99,traces/mb-foreign-affairs-lexicon-handoff-v1/sample_review_trace.json
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,PASS,5c5f843d559959d5,traces/mb-georgetown-ic-handoff-done/sample_review_trace.json
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,PASS,4d9a0fc41364b7db,traces/mb-gotham-lossless-replacement-archive-2026-04-15/sample_review_trace.json
mb-internal-operating-support-003,Internal Operating Support Packet 003,PASS,94377cca5415486d,traces/mb-internal-operating-support-003/sample_review_trace.json
mb-internal-operating-support-004,Internal Operating Support Packet 004,PASS,153406b0b0c5bba7,traces/mb-internal-operating-support-004/sample_review_trace.json
mb-internal-operating-support-007,Internal Operating Support Packet 007,PASS,a8dd62367d78da79,traces/mb-internal-operating-support-007/sample_review_trace.json
mb-internal-operating-support-008,Internal Operating Support Packet 008,PASS,a4868c080af03194,traces/mb-internal-operating-support-008/sample_review_trace.json
mb-internal-operating-support-011,Internal Operating Support Packet 011,PASS,d663a2336d27ddf7,traces/mb-internal-operating-support-011/sample_review_trace.json
mb-internal-operating-support-012,Internal Operating Support Packet 012,PASS,2d02b5021b58250d,traces/mb-internal-operating-support-012/sample_review_trace.json
mb-internal-operating-support-015,Internal Operating Support Packet 015,PASS,6f34457fdf74ac89,traces/mb-internal-operating-support-015/sample_review_trace.json
mb-internal-operating-support-016,Internal Operating Support Packet 016,PASS,ea08300e832625b5,traces/mb-internal-operating-support-016/sample_review_trace.json
mb-internal-operating-support-019,Internal Operating Support Packet 019,PASS,a55a46f1a6424498,traces/mb-internal-operating-support-019/sample_review_trace.json
mb-internal-operating-support-020,Internal Operating Support Packet 020,PASS,e35928e3abe85e18,traces/mb-internal-operating-support-020/sample_review_trace.json
mb-internal-operating-support-023,Internal Operating Support Packet 023,PASS,a0832429af395292,traces/mb-internal-operating-support-023/sample_review_trace.json
mb-internal-operating-support-024,Internal Operating Support Packet 024,PASS,81ecc86b3acec9fb,traces/mb-internal-operating-support-024/sample_review_trace.json
mb-internal-operating-support-027,Internal Operating Support Packet 027,PASS,4b8a151b6cc2c5d2,traces/mb-internal-operating-support-027/sample_review_trace.json
mb-internal-operating-support-028,Internal Operating Support Packet 028,PASS,cf6bb5b958eeaa24,traces/mb-internal-operating-support-028/sample_review_trace.json
mb-internal-operating-support-031,Internal Operating Support Packet 031,PASS,55a00528dc27537e,traces/mb-internal-operating-support-031/sample_review_trace.json
mb-internal-operating-support-032,Internal Operating Support Packet 032,PASS,1d2a91a983ebe779,traces/mb-internal-operating-support-032/sample_review_trace.json
mb-internal-operating-support-035,Internal Operating Support Packet 035,PASS,a4806dc30fe97de9,traces/mb-internal-operating-support-035/sample_review_trace.json
mb-internal-operating-support-036,Internal Operating Support Packet 036,PASS,7c282d77d466e9fc,traces/mb-internal-operating-support-036/sample_review_trace.json
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",PASS,4852210f6827a20e,traces/mb-sophisticated-expression-lexicon-handoff/sample_review_trace.json
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,PASS,4771c2e894f74b71,traces/mb-ic-analyst-portfolio-handoff-pass1/sample_review_trace.json
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,PASS,c995747d61a0760e,traces/mb-individual-democratic-dialectic-final-handoff-done/sample_review_trace.json
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,PASS,a3dc045389377f98,traces/mb-ukraine-handoff-packet/sample_review_trace.json
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),PASS,0a4ea703ecc22a05,traces/mb-briefingforgeroom-handoff-pass4-done/sample_review_trace.json
mb-comparative-genocide-systems-lab-handoff-v1-0,Comparative Genocide Systems Lab,PASS,2e3fd48153e9d7f5,traces/mb-comparative-genocide-systems-lab-handoff-v1-0/sample_review_trace.json
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),PASS,881899893760ef14,traces/mb-comparative-rhetoric-final/sample_review_trace.json
mb-fractal-keep-handoff-v1,Fractal Keep,PASS,b25998976e82d271,traces/mb-fractal-keep-handoff-v1/sample_review_trace.json
mb-internal-operating-support-001,Internal Operating Support Packet 001,PASS,5af639cae526d742,traces/mb-internal-operating-support-001/sample_review_trace.json
mb-internal-operating-support-002,Internal Operating Support Packet 002,PASS,d82f8e0eb21abb7c,traces/mb-internal-operating-support-002/sample_review_trace.json
mb-internal-operating-support-005,Internal Operating Support Packet 005,PASS,293a5a58e6ccea59,traces/mb-internal-operating-support-005/sample_review_trace.json
mb-internal-operating-support-006,Internal Operating Support Packet 006,PASS,776d0c927056931b,traces/mb-internal-operating-support-006/sample_review_trace.json
mb-internal-operating-support-009,Internal Operating Support Packet 009,PASS,5b89555312b9f612,traces/mb-internal-operating-support-009/sample_review_trace.json
mb-internal-operating-support-010,Internal Operating Support Packet 010,PASS,63a78d717ed362be,traces/mb-internal-operating-support-010/sample_review_trace.json
mb-internal-operating-support-013,Internal Operating Support Packet 013,PASS,f0a0ef0d3211153b,traces/mb-internal-operating-support-013/sample_review_trace.json
mb-internal-operating-support-014,Internal Operating Support Packet 014,PASS,0032605c0c7e1f0f,traces/mb-internal-operating-support-014/sample_review_trace.json
mb-internal-operating-support-017,Internal Operating Support Packet 017,PASS,165e4e94467f06d5,traces/mb-internal-operating-support-017/sample_review_trace.json
mb-internal-operating-support-018,Internal Operating Support Packet 018,PASS,14acf1c4c84ee717,traces/mb-internal-operating-support-018/sample_review_trace.json
mb-internal-operating-support-021,Internal Operating Support Packet 021,PASS,c2c5291694f3217f,traces/mb-internal-operating-support-021/sample_review_trace.json
mb-internal-operating-support-022,Internal Operating Support Packet 022,PASS,9b807b3b38504c55,traces/mb-internal-operating-support-022/sample_review_trace.json
mb-internal-operating-support-025,Internal Operating Support Packet 025,PASS,4aee9970ee44eb3d,traces/mb-internal-operating-support-025/sample_review_trace.json
mb-internal-operating-support-026,Internal Operating Support Packet 026,PASS,4393dfc86df8d84b,traces/mb-internal-operating-support-026/sample_review_trace.json
mb-internal-operating-support-029,Internal Operating Support Packet 029,PASS,b3f7dfe77f1f4a71,traces/mb-internal-operating-support-029/sample_review_trace.json
mb-internal-operating-support-030,Internal Operating Support Packet 030,PASS,033fdeaf6d44ca6b,traces/mb-internal-operating-support-030/sample_review_trace.json
mb-internal-operating-support-033,Internal Operating Support Packet 033,PASS,7a5fdd87a47d3131,traces/mb-internal-operating-support-033/sample_review_trace.json
mb-internal-operating-support-034,Internal Operating Support Packet 034,PASS,d2d7f7a7c25bbc28,traces/mb-internal-operating-support-034/sample_review_trace.json
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,PASS,7a270c1d58316a98,traces/mb-redteamlab-proper-handoff-package-2026-04-14/sample_review_trace.json
mb-rfp-handoff-ch01-02-done,Chapter analysis pipeline: Chs 1 (Feklyunina) + 2 (Morozov),PASS,ea2abda9b9101765,traces/mb-rfp-handoff-ch01-02-done/sample_review_trace.json
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,PASS,ce8c7d1b7ff3da24,traces/mb-wargaming-handoff-pass1/sample_review_trace.json
native-applied-history-lab,Applied History Lab,PASS,73dee8275d537a2d,traces/native-applied-history-lab/sample_review_trace.json
native-emt,Emergency Triage Simulator,PASS,58858e424d3d304a,traces/native-emt/sample_review_trace.json
native-habitat,Volunteer Build-Day Coordination,PASS,55388de27455f6c9,traces/native-habitat/sample_review_trace.json
native-master-bundle-pages,Master Bundle Pages,PASS,482210b556b4d05e,traces/native-master-bundle-pages/sample_review_trace.json
native-pharm,Vaccine Distribution Planner,PASS,7ee8f75bbc53ecfb,traces/native-pharm/sample_review_trace.json
native-respite,Recovery Respite Facility Operations,PASS,9cdfd7192e781990,traces/native-respite/sample_review_trace.json
native-uscri,Refugee Resettlement Resource Allocation,PASS,a0d7dccfc63b2ac4,traces/native-uscri/sample_review_trace.json
red-team-lab,Red Team Lab - consolidated counter-deception lab across five authority roles,PASS,3080f3a942141526,traces/red-team-lab/sample_review_trace.json
