project_id,product_name,project_kind,build_mode,instrument_count,acceptance_test_count,package_operational_slice_built,full_underlying_system_complete,engine_href,runner_href
master-bundle-atlas,Master Bundle Packet Promotion Atlas,method atlas / taxonomy,source governance build,6,4,yes,no,project_engines/master-bundle-atlas/engine_spec.json,runner.html?project=master-bundle-atlas
native-poison-rag,Retrieval Integrity And Poison-RAG Evaluation Harness,retrieval security / evaluation harness,software or application build,7,4,yes,no,project_engines/native-poison-rag/engine_spec.json,runner.html?project=native-poison-rag
poison-rag-defense-annex,Adversarial Evidence Corruption Technical Annex Harness,retrieval security / evaluation harness,governed project build,6,3,yes,no,project_engines/poison-rag-defense-annex/engine_spec.json,runner.html?project=poison-rag-defense-annex
russia-desk,Russia Source-To-Judgment Desk,analysis method / workstation,software or application build,7,3,yes,no,project_engines/russia-desk/engine_spec.json,runner.html?project=russia-desk
trilogy,Book Trilogy Manuscript Governance System,book / manuscript system,manuscript and publication system,7,5,yes,no,project_engines/trilogy/engine_spec.json,runner.html?project=trilogy
analytical-methods,Structured Analytic Technique Studio,analysis method / workstation,software or application build,6,4,yes,no,project_engines/analytical-methods/engine_spec.json,runner.html?project=analytical-methods
native-capstone-quantitative,Quantitative Capstone Workbench,future quantitative experiment apparatus,research publication build,4,3,yes,no,project_engines/native-capstone-quantitative/engine_spec.json,runner.html?project=native-capstone-quantitative
native-magnum-opus,Magnum Opus Scholarly Retrieval And Warrant System,retrieval / evidence software,software or application build,7,5,yes,no,project_engines/native-magnum-opus/engine_spec.json,runner.html?project=native-magnum-opus
row10,Structured Human-AI Analyst Workstation,human-AI analysis workstation,software or application build,6,4,yes,no,project_engines/row10/engine_spec.json,runner.html?project=row10
algorithmic-active-measures,Algorithmic Active Measures - data poisoning as counterintelligence tradecraft in AI-mediated intelligence analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/algorithmic-active-measures/engine_spec.json,runner.html?project=algorithmic-active-measures
native-murano,MuranoOS Research Operating Environment,software operating environment,software or application build,7,4,yes,no,project_engines/native-murano/engine_spec.json,runner.html?project=native-murano
row7,Nexus Research Pipeline,research workflow software,software or application build,7,5,yes,no,project_engines/row7/engine_spec.json,runner.html?project=row7
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-ci-career-conversation-handoff-done/engine_spec.json,runner.html?project=mb-ci-career-conversation-handoff-done
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-cia-russian-ci-handoff-packet/engine_spec.json,runner.html?project=mb-cia-russian-ci-handoff-packet
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-nik-handoff-v1/engine_spec.json,runner.html?project=mb-nik-handoff-v1
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-russia-intelligence-analysis-final-handoff/engine_spec.json,runner.html?project=mb-russia-intelligence-analysis-final-handoff
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C x core/extended,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-russian-reference-handoff-final/engine_spec.json,runner.html?project=mb-russian-reference-handoff-final
mb-visible-chat-handoff-package,Russian-studies bibliography + reflexive meta-analysis session,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-visible-chat-handoff-package/engine_spec.json,runner.html?project=mb-visible-chat-handoff-package
native-aishared-instruments,AI Shared Instruments,AI assurance / analysis room,analytic instrument build,4,3,yes,no,project_engines/native-aishared-instruments/engine_spec.json,runner.html?project=native-aishared-instruments
native-berlin,Berlin Occupation Zones and Refugee Crisis,retrieval / evidence software,software or application build,4,4,yes,no,project_engines/native-berlin/engine_spec.json,runner.html?project=native-berlin
native-cicc,ICC Complementarity Case Room,historical / policy case room,source governance build,4,3,yes,no,project_engines/native-cicc/engine_spec.json,runner.html?project=native-cicc
native-crusades,Crusades and Mediterranean Order,historical / policy case room,source governance build,4,3,yes,no,project_engines/native-crusades/engine_spec.json,runner.html?project=native-crusades
native-peace,Track II Diplomacy and Peacebuilding,historical / policy case room,source governance build,4,3,yes,no,project_engines/native-peace/engine_spec.json,runner.html?project=native-peace
native-war-theory,War Theory and Strategic Culture,historical / policy case room,source governance build,4,3,yes,no,project_engines/native-war-theory/engine_spec.json,runner.html?project=native-war-theory
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),retrieval / evidence software,software or application build,4,4,yes,no,project_engines/row5/engine_spec.json,runner.html?project=row5
row6,Scholarly Retrieval System - cross-disciplinary research library with a twelve-stage analytical-governance plane,retrieval / evidence software,software or application build,4,4,yes,no,project_engines/row6/engine_spec.json,runner.html?project=row6
applied-history,Applied History - lab for using historical case study to inform contemporary policy,research workflow software,software or application build,4,4,yes,no,project_engines/applied-history/engine_spec.json,runner.html?project=applied-history
native-aigov-nav,AI Governance Navigator,navigation / governance instrument,analytic instrument build,4,3,yes,no,project_engines/native-aigov-nav/engine_spec.json,runner.html?project=native-aigov-nav
native-aiintel-cycle,AI Intelligence Cycle,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aiintel-cycle/engine_spec.json,runner.html?project=native-aiintel-cycle
native-aiknowledge-prod,AI Knowledge Production,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aiknowledge-prod/engine_spec.json,runner.html?project=native-aiknowledge-prod
native-aiprompt-eng,AI Prompt Engineering,AI assurance / analysis room,software or application build,4,3,yes,no,project_engines/native-aiprompt-eng/engine_spec.json,runner.html?project=native-aiprompt-eng
native-analyst-assurance-desk,Analyst Assurance Desk,analysis method / workstation,software or application build,4,4,yes,no,project_engines/native-analyst-assurance-desk/engine_spec.json,runner.html?project=native-analyst-assurance-desk
native-russia,Russia,research workflow software,software or application build,4,4,yes,no,project_engines/native-russia/engine_spec.json,runner.html?project=native-russia
native-russia-history-room,Russia Historical Context Room,research workflow software,software or application build,4,4,yes,no,project_engines/native-russia-history-room/engine_spec.json,runner.html?project=native-russia-history-room
row1,Quantitative Capstone - quantitative arm of the AI-corruption capstone study,research study,research publication build,4,3,yes,no,project_engines/row1/engine_spec.json,runner.html?project=row1
cognitive-warfare,"Cognitive Warfare - counter-intelligence doctrine, operationalized into analytical instruments",research workflow software,software or application build,4,4,yes,no,project_engines/cognitive-warfare/engine_spec.json,runner.html?project=cognitive-warfare
ir-lexicon,IR Lexicon - coined-term lexicon for modern foreign-affairs discourse,research workflow software,software or application build,4,4,yes,no,project_engines/ir-lexicon/engine_spec.json,runner.html?project=ir-lexicon
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-murano-mashup-room-handoff-v1/engine_spec.json,runner.html?project=mb-murano-mashup-room-handoff-v1
native-africa,Colonial Encounter in Africa,research workflow software,software or application build,4,4,yes,no,project_engines/native-africa/engine_spec.json,runner.html?project=native-africa
native-east-asia,East Asian War and Strategic Tradition,research workflow software,software or application build,4,4,yes,no,project_engines/native-east-asia/engine_spec.json,runner.html?project=native-east-asia
native-mideast,Ottoman Palestine and Early Zionism,research workflow software,software or application build,4,4,yes,no,project_engines/native-mideast/engine_spec.json,runner.html?project=native-mideast
native-mongol,Mongol Empire Military Systems,research workflow software,software or application build,4,4,yes,no,project_engines/native-mongol/engine_spec.json,runner.html?project=native-mongol
native-western,Western Political Thought and the Ideal State,research workflow software,software or application build,4,4,yes,no,project_engines/native-western/engine_spec.json,runner.html?project=native-western
mb-muranoos-red-team-proper-handoff-archive-2026-04-11,Only one with 99_Preserved_Source_Archives/ + CURRENT_TRUTH_AT_A_GLANCE.md,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-proper-handoff-archive-2026-04-11/engine_spec.json,runner.html?project=mb-muranoos-red-team-proper-handoff-archive-2026-04-11
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-russia-security-handoff-packet-done/engine_spec.json,runner.html?project=mb-russia-security-handoff-packet-done
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,software operating environment,software or application build,4,4,yes,no,project_engines/decision-advantage-system/engine_spec.json,runner.html?project=decision-advantage-system
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,policy / governance proposal,research publication build,4,3,yes,no,project_engines/isc-proposals/engine_spec.json,runner.html?project=isc-proposals
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-redteamlab-proper-handoff-zip-2026-04-14/engine_spec.json,runner.html?project=mb-redteamlab-proper-handoff-zip-2026-04-14
native-iscproposals,Counterintelligence Surveillance Framework,policy / governance proposal,research publication build,4,3,yes,no,project_engines/native-iscproposals/engine_spec.json,runner.html?project=native-iscproposals
cognitive-firewall-instruments,Cognitive Firewall Instruments - authoring defensive instruments against AI-mediated analytic corruption,research study,research publication build,4,3,yes,no,project_engines/cognitive-firewall-instruments/engine_spec.json,runner.html?project=cognitive-firewall-instruments
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,archive / packet router,source governance build,4,4,yes,no,project_engines/critical-functions-observatory/engine_spec.json,runner.html?project=critical-functions-observatory
historical-studies,"Historical Studies - eleven historical and operational case studies, including the manuscript Trilogy",research workflow software,software or application build,4,4,yes,no,project_engines/historical-studies/engine_spec.json,runner.html?project=historical-studies
mb-capstone-handoff-package,Red Cell CI analysis of Russian cognitive deception; 12 COA dossiers,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-capstone-handoff-package/engine_spec.json,runner.html?project=mb-capstone-handoff-package
mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11,"Only one replacing ""Red Team Lab"" framing with ""Murano Prism Room"" world doctrine",master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11/engine_spec.json,runner.html?project=mb-muranoos-red-team-prism-room-execution-handoff-2026-04-11
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-sat-handoff-v1/engine_spec.json,runner.html?project=mb-sat-handoff-v1
native-aisatvis,AI Structured Analysis Visualization,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aisatvis/engine_spec.json,runner.html?project=native-aisatvis
native-amfp,Washington-Jefferson Era Foreign Policy,historical / policy case room,source governance build,4,3,yes,no,project_engines/native-amfp/engine_spec.json,runner.html?project=native-amfp
native-capstone-defense,Cognitive Firewalls Capstone Defense,capstone defense / research presentation,research publication build,4,3,yes,no,project_engines/native-capstone-defense/engine_spec.json,runner.html?project=native-capstone-defense
native-capstone-defense-noland,Cognitive Firewalls Defense Room,research study,research publication build,4,3,yes,no,project_engines/native-capstone-defense-noland/engine_spec.json,runner.html?project=native-capstone-defense-noland
native-trilogy-showcase,Book Trilogy Showcase,book / manuscript system,manuscript and publication system,4,4,yes,no,project_engines/native-trilogy-showcase/engine_spec.json,runner.html?project=native-trilogy-showcase
native-trilogy-showcase-atlas,Book Trilogy Atlas,method atlas / taxonomy,manuscript and publication system,4,4,yes,no,project_engines/native-trilogy-showcase-atlas/engine_spec.json,runner.html?project=native-trilogy-showcase-atlas
reflexive-control-chamber,Reflexive Control Chamber - Russian reflexive-control & strategic-deception research chamber,domain analysis desk,source governance build,4,3,yes,no,project_engines/reflexive-control-chamber/engine_spec.json,runner.html?project=reflexive-control-chamber
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,retrieval / evidence software,software or application build,4,4,yes,no,project_engines/row11/engine_spec.json,runner.html?project=row11
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,retrieval / evidence software,software or application build,4,4,yes,no,project_engines/row14/engine_spec.json,runner.html?project=row14
row2,AI Rigor Detection - framework that detects performative rigor in AI-generated analysis; publication status is separated from validation status,policy / governance proposal,research publication build,4,3,yes,no,project_engines/row2/engine_spec.json,runner.html?project=row2
structured-analysis-toolkit,Structured Techniques Toolkit - authoring and refinement workspace for disciplined analytic instruments,retrieval / evidence software,software or application build,4,4,yes,no,project_engines/structured-analysis-toolkit/engine_spec.json,runner.html?project=structured-analysis-toolkit
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-ci-handoff-package/engine_spec.json,runner.html?project=mb-ci-handoff-package
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-cognitive-firewalls-foundry-handoff-v1/engine_spec.json,runner.html?project=mb-cognitive-firewalls-foundry-handoff-v1
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-dialectic-engine-room-pass1-handoff/engine_spec.json,runner.html?project=mb-dialectic-engine-room-pass1-handoff
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",master-bundle artifact / archive router,research publication build,4,4,yes,no,project_engines/mb-georgetown-technique-registry-master-50-bundle/engine_spec.json,runner.html?project=mb-georgetown-technique-registry-master-50-bundle
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-narrative-furnace-handoff-pack-2026-04-14/engine_spec.json,runner.html?project=mb-narrative-furnace-handoff-pack-2026-04-14
native-russia-security-desk,Russia Security Desk,research workflow software,software or application build,4,4,yes,no,project_engines/native-russia-security-desk/engine_spec.json,runner.html?project=native-russia-security-desk
bias-atlas,Bias Atlas - cognitive-bias catalogue grounded in Heuer and Kahneman,method atlas / taxonomy,analytic instrument build,4,3,yes,no,project_engines/bias-atlas/engine_spec.json,runner.html?project=bias-atlas
genocide-lab,Comparative Genocide Lab - comparative analysis of mass political violence across ten canonical dimensions,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/genocide-lab/engine_spec.json,runner.html?project=genocide-lab
mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3,13 snapshot workbooks; 11-phase build scaffold - AI-assisted methods,master-bundle artifact / archive router,manuscript and publication system,4,4,yes,no,project_engines/mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3/engine_spec.json,runner.html?project=mb-ic-analytic-technique-compendium-bundle-v0-1-v1-3
mb-muranoos-red-team-prism-observatory-handoff-package-v1,Doctrinally richest: 13 named subspaces x 10 modes; claim-evidence-confidence governance,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-prism-observatory-handoff-package-v1/engine_spec.json,runner.html?project=mb-muranoos-red-team-prism-observatory-handoff-package-v1
mb-muranoos-red-team-proper-handoff-package-pass-1,Flat structure; 01_GOVERNING_SOURCES/ + flattened live files,master-bundle artifact / archive router,software or application build,4,4,yes,no,project_engines/mb-muranoos-red-team-proper-handoff-package-pass-1/engine_spec.json,runner.html?project=mb-muranoos-red-team-proper-handoff-package-pass-1
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-redteamlab-packet1-proper-handoff-done/engine_spec.json,runner.html?project=mb-redteamlab-packet1-proper-handoff-done
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-six-project-hardening-handoff-done-v1/engine_spec.json,runner.html?project=mb-six-project-hardening-handoff-done-v1
mb-speechwriting-handoff-packet,"25x25 matrix framework (Warning labels populated, cell content NOT)",master-bundle artifact / archive router,source governance build,4,4,yes,no,project_engines/mb-speechwriting-handoff-packet/engine_spec.json,runner.html?project=mb-speechwriting-handoff-packet
native-aifailure-tax,AI Failure Taxonomy,method atlas / taxonomy,analytic instrument build,4,3,yes,no,project_engines/native-aifailure-tax/engine_spec.json,runner.html?project=native-aifailure-tax
native-aimodel-assess,AI Model Assessment,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aimodel-assess/engine_spec.json,runner.html?project=native-aimodel-assess
native-aiosintnarr,AI OSINT Narrative Analysis,AI assurance / analysis room,source governance build,4,3,yes,no,project_engines/native-aiosintnarr/engine_spec.json,runner.html?project=native-aiosintnarr
native-hsanalysis,Homeland Security Analysis,structured analysis room,analytic instrument build,4,4,yes,no,project_engines/native-hsanalysis/engine_spec.json,runner.html?project=native-hsanalysis
native-wargaming,Alliance Crisis Wargaming,strategic simulation / planning tool,source governance build,4,3,yes,no,project_engines/native-wargaming/engine_spec.json,runner.html?project=native-wargaming
planning,"Development Process - how projects move from idea to built, reviewed work",public project blueprint,source governance build,4,3,yes,no,project_engines/planning/engine_spec.json,runner.html?project=planning
regional-studies,"Regional Studies - eight place-based analytical pages (Africa, Berlin, East Asia, London, Mideast, Mongol, Russia, Western)",research workflow software,software or application build,4,4,yes,no,project_engines/regional-studies/engine_spec.json,runner.html?project=regional-studies
