project_id,product_name,contract_count,candidate_files_found,unlocated_sources,proof_capsules_touched,high_priority_count,highest_priority_next_action
mb-russia-intelligence-analysis-final-handoff,3-page Russia integrated-strategy assessment (V1-V4 convergence),5,5,0,3,0,"After close reading, update operation_to_run and source_bound_test for 3-page Russia integrated-strategy assessment (V1-V4 convergence) and attach the passage note to the listed proof capsule(s)."
row14,Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning,5,5,0,3,0,"After close reading, update operation_to_run and source_bound_test for Defensive Retrieval Research - future study on retrieval-augmented-generation poisoning and attach the passage note to the listed proof capsule(s)."
applied-history,Applied History - lab for using historical case study to inform contemporary policy,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Applied History - lab for using historical case study to inform contemporary policy and attach the passage note to the listed proof capsule(s)."
critical-functions-observatory,Critical Functions Observatory - defensive UAS / critical-infrastructure research lab,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Critical Functions Observatory - defensive UAS / critical-infrastructure research lab and attach the passage note to the listed proof capsule(s)."
isc-proposals,Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Counterintelligence Surveillance Framework - Beyond Surveillance Maximalism: a Smart Surveillance Scaling (S3) proposal and attach the passage note to the listed proof capsule(s)."
mb-ar-sat-room-handoff-v0-1,AR-SAT Room,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for AR-SAT Room and attach the passage note to the listed proof capsule(s)."
mb-cia-do-career-handoff-v1,500-role ranked search universe (250 federal + 250 private),4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 500-role ranked search universe (250 federal + 250 private) and attach the passage note to the listed proof capsule(s)."
mb-cia-russian-ci-handoff-packet,Credential stack + 90-day plan + Competency Tracker CSV,4,4,0,3,0,"After close reading, update operation_to_run and source_bound_test for Credential stack + 90-day plan + Competency Tracker CSV and attach the passage note to the listed proof capsule(s)."
mb-cognitive-firewalls-foundry-handoff-v1,Cognitive Firewalls Foundry,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Cognitive Firewalls Foundry and attach the passage note to the listed proof capsule(s)."
mb-counter-idiom-lab-proper-handoff-done,Counter-Idiom Lab,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Counter-Idiom Lab and attach the passage note to the listed proof capsule(s)."
mb-dialectic-engine-room-pass1-handoff,Dialectic Engine,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Dialectic Engine and attach the passage note to the listed proof capsule(s)."
mb-foreign-affairs-lexicon-handoff-v1,400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 400 coined IR terms - 30 shortlist - 20 canon - 10 mini-theories and attach the passage note to the listed proof capsule(s)."
mb-fractal-keep-handoff-v1,Fractal Keep,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Fractal Keep and attach the passage note to the listed proof capsule(s)."
mb-georgetown-ic-handoff-done,Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Agency-targeting scorecard; 25 citations; FY2024-2026 NIP/MIP figures and attach the passage note to the listed proof capsule(s)."
mb-georgetown-technique-registry-master-50-bundle,"50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G]",4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 50-course Georgetown SSP registry; 7,500+ technique lines; capstone plug tags [SR/EP/IR/SC/G] and attach the passage note to the listed proof capsule(s)."
mb-gotham-lossless-replacement-archive-2026-04-15,Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Batman/Gotham 9-tier archive; canon hierarchy + Azrael rule + Issue #1-2 proofs and attach the passage note to the listed proof capsule(s)."
mb-hearthglass-handoff-v1,HearthGlass,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for HearthGlass and attach the passage note to the listed proof capsule(s)."
mb-ic-analyst-portfolio-handoff-pass1,IC analyst portfolio build kit; skill taxonomy S01-S26,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for IC analyst portfolio build kit; skill taxonomy S01-S26 and attach the passage note to the listed proof capsule(s)."
mb-individual-democratic-dialectic-final-handoff-done,IDDD Bibliographic Inventory,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for IDDD Bibliographic Inventory and attach the passage note to the listed proof capsule(s)."
mb-isc-symposium-command-room-handoff-pass3-done,ISC Symposium Command,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for ISC Symposium Command and attach the passage note to the listed proof capsule(s)."
mb-narrative-furnace-handoff-pack-2026-04-14,Narrative Furnace,4,4,0,3,0,"After close reading, update claim_ceiling and claim_blocked_until_capture for Narrative Furnace and attach the passage note to the listed proof capsule(s)."
mb-redteamlab-packet1-proper-handoff-done,Most implementation-ready: .patch + full files + snapshot + SQL verification + validation,4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for Most implementation-ready: .patch + full files + snapshot + SQL verification + validation and attach the passage note to the listed proof capsule(s)."
mb-redteamlab-proper-handoff-zip-2026-04-14,Cumulative-patch consolidator (4 historical patch packs merged),4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Cumulative-patch consolidator (4 historical patch packs merged) and attach the passage note to the listed proof capsule(s)."
mb-russia-security-handoff-packet-done,CARE framework gray-zone counter-strategy + red-team critique,4,4,0,3,0,"After close reading, update operation_to_run and source_bound_test for CARE framework gray-zone counter-strategy + red-team critique and attach the passage note to the listed proof capsule(s)."
mb-sat-handoff-v1,Canonical SAT dedup: 106 techniques normalized across 11 catalogues,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Canonical SAT dedup: 106 techniques normalized across 11 catalogues and attach the passage note to the listed proof capsule(s)."
mb-six-project-hardening-handoff-done-v1,52 MB cross-project governance pack; nested 55 MB original bundle preserved,4,4,0,3,0,"After close reading, update observable_output and public_claim_allowed_now for 52 MB cross-project governance pack; nested 55 MB original bundle preserved and attach the passage note to the listed proof capsule(s)."
mb-sophisticated-expression-lexicon-handoff,"50-entry curated arsenal (of planned 1,000)",4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 50-entry curated arsenal (of planned 1,000) and attach the passage note to the listed proof capsule(s)."
mb-speechwriting-handoff-packet,"25×25 matrix framework (Warning labels populated, cell content NOT)",4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for 25×25 matrix framework (Warning labels populated, cell content NOT) and attach the passage note to the listed proof capsule(s)."
mb-the-interval-chamber-of-refraction-handoff-v1,Interval Chamber of Refraction,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Interval Chamber of Refraction and attach the passage note to the listed proof capsule(s)."
mb-ukraine-handoff-packet,Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Three-lane civilian service plan; clearance-risk matrix SAFE/CAUTION/AVOID and attach the passage note to the listed proof capsule(s)."
native-berlin,Berlin Occupation Zones and Refugee Crisis,4,4,0,3,0,"After close reading, update claim_ceiling and claim_blocked_until_capture for Berlin Occupation Zones and Refugee Crisis and attach the passage note to the listed proof capsule(s)."
native-cicc,ICC Complementarity Case Room,4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for ICC Complementarity Case Room and attach the passage note to the listed proof capsule(s)."
native-crusades,Crusades and Mediterranean Order,4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for Crusades and Mediterranean Order and attach the passage note to the listed proof capsule(s)."
native-iscproposals,Counterintelligence Surveillance Framework,4,4,0,3,0,"After close reading, update claim_ceiling and claim_blocked_until_capture for Counterintelligence Surveillance Framework and attach the passage note to the listed proof capsule(s)."
native-peace,Track II Diplomacy and Peacebuilding,4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for Track II Diplomacy and Peacebuilding and attach the passage note to the listed proof capsule(s)."
native-portfolio-index,Full Project Catalogue,4,4,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Full Project Catalogue and attach the passage note to the listed proof capsule(s)."
native-russia,Russia,4,4,0,3,0,"After close reading, update input_fixture and observable_output for Russia and attach the passage note to the listed proof capsule(s)."
native-war-theory,War Theory and Strategic Culture,4,4,0,3,0,"After close reading, update acceptance_test and capture_requirement for War Theory and Strategic Culture and attach the passage note to the listed proof capsule(s)."
row11,Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure,4,4,0,3,0,"After close reading, update input_fixture and falsification_rule for Retrieval Integrity Evaluation - testing Retrieval-Augmented Generation (RAG) against retrieval poisoning and false-source failure and attach the passage note to the listed proof capsule(s)."
row5,Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline),4,4,0,3,0,"After close reading, update input_fixture and falsification_rule for Defense Doctrine - defensive retrieval governance laboratory (claim-limit discipline) and attach the passage note to the listed proof capsule(s)."
decision-advantage-system,Decision Advantage System - operating architecture for intelligence and security organizations,3,3,0,3,0,"After close reading, update operation_to_run and source_bound_test for Decision Advantage System - operating architecture for intelligence and security organizations and attach the passage note to the listed proof capsule(s)."
mb-briefingforgeroom-handoff-pass4-done,Briefing Forge Room (code-ready),3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Briefing Forge Room (code-ready) and attach the passage note to the listed proof capsule(s)."
mb-ci-career-conversation-handoff-done,Conversation capture with structured JSON handoff,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Conversation capture with structured JSON handoff and attach the passage note to the listed proof capsule(s)."
mb-ci-handoff-package,32 interdisciplinary frameworks attributed to specific thinkers,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for 32 interdisciplinary frameworks attributed to specific thinkers and attach the passage note to the listed proof capsule(s)."
mb-infragard-handoff,InfraGard preparatory note (minimal),3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for InfraGard preparatory note (minimal) and attach the passage note to the listed proof capsule(s)."
mb-insinuationengineroom-handoff-done,Insinuation Engine,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Insinuation Engine and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-001,Internal Operating Support Packet 001,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 001 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-002,Internal Operating Support Packet 002,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 002 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-003,Internal Operating Support Packet 003,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 003 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-004,Internal Operating Support Packet 004,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 004 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-005,Internal Operating Support Packet 005,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 005 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-006,Internal Operating Support Packet 006,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 006 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-007,Internal Operating Support Packet 007,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 007 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-008,Internal Operating Support Packet 008,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 008 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-009,Internal Operating Support Packet 009,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 009 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-010,Internal Operating Support Packet 010,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 010 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-011,Internal Operating Support Packet 011,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 011 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-012,Internal Operating Support Packet 012,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 012 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-013,Internal Operating Support Packet 013,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 013 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-014,Internal Operating Support Packet 014,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 014 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-015,Internal Operating Support Packet 015,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 015 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-016,Internal Operating Support Packet 016,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 016 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-017,Internal Operating Support Packet 017,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 017 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-018,Internal Operating Support Packet 018,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 018 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-019,Internal Operating Support Packet 019,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 019 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-020,Internal Operating Support Packet 020,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 020 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-021,Internal Operating Support Packet 021,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 021 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-022,Internal Operating Support Packet 022,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 022 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-023,Internal Operating Support Packet 023,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 023 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-024,Internal Operating Support Packet 024,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 024 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-025,Internal Operating Support Packet 025,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 025 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-026,Internal Operating Support Packet 026,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 026 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-027,Internal Operating Support Packet 027,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 027 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-028,Internal Operating Support Packet 028,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 028 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-029,Internal Operating Support Packet 029,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 029 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-030,Internal Operating Support Packet 030,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 030 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-031,Internal Operating Support Packet 031,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 031 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-032,Internal Operating Support Packet 032,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 032 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-033,Internal Operating Support Packet 033,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 033 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-034,Internal Operating Support Packet 034,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 034 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-035,Internal Operating Support Packet 035,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 035 and attach the passage note to the listed proof capsule(s)."
mb-internal-operating-support-036,Internal Operating Support Packet 036,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Internal Operating Support Packet 036 and attach the passage note to the listed proof capsule(s)."
mb-muranoos-failure-doctrine-lab-handoff-pack-2026-04-11,Failure Doctrine Lab,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Failure Doctrine Lab and attach the passage note to the listed proof capsule(s)."
mb-nik-handoff-v1,72-month master plan + Russian-language 12-month CSV + SF-86 prep,3,3,0,3,0,"After close reading, update operation_to_run and source_bound_test for 72-month master plan + Russian-language 12-month CSV + SF-86 prep and attach the passage note to the listed proof capsule(s)."
mb-redteamlab-proper-handoff-package-2026-04-14,Earliest pack; high-standard 3-column delta map,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Earliest pack; high-standard 3-column delta map and attach the passage note to the listed proof capsule(s)."
mb-russian-reference-handoff-final,100-item ranked bibliography with verification levels A/B/C × core/extended,3,3,0,3,0,"After close reading, update input_fixture and observable_output for 100-item ranked bibliography with verification levels A/B/C × core/extended and attach the passage note to the listed proof capsule(s)."
mb-wargaming-handoff-pass1,Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Full portfolio build: 2 casefiles + 8-work product wargame product + 7 interview drills and attach the passage note to the listed proof capsule(s)."
native-london,Colonial Archive Explorer,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Colonial Archive Explorer and attach the passage note to the listed proof capsule(s)."
native-master-bundle-pages,Master Bundle Pages,3,3,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Master Bundle Pages and attach the passage note to the listed proof capsule(s)."
mb-comparative-rhetoric-final,Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total),2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Warning Misleading name: all 24 files are 1-line title stubs (466 bytes total) and attach the passage note to the listed proof capsule(s)."
mb-glass-hearth-muranoos-handoff-package-2026-04-15,Glass Hearth,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Glass Hearth and attach the passage note to the listed proof capsule(s)."
mb-murano-chamber-handoff,Chamber of Refractions,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Chamber of Refractions and attach the passage note to the listed proof capsule(s)."
mb-murano-chamber-of-record-handoff,Chamber of Record,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Chamber of Record and attach the passage note to the listed proof capsule(s)."
mb-murano-codex-prism-handoff-v1,Codex Prism,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Codex Prism and attach the passage note to the listed proof capsule(s)."
mb-murano-house-of-light-and-doom-handoff-v1,House of Light and Doom,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for House of Light and Doom and attach the passage note to the listed proof capsule(s)."
mb-murano-mashup-room-handoff-v1,Mashup Intelligence Room,2,2,0,3,0,"After close reading, update operation_to_run and source_bound_test for Mashup Intelligence Room and attach the passage note to the listed proof capsule(s)."
mb-murano-os-annealed-refraction-chamber-handoff-done,Annealed Refraction Chamber,2,2,0,3,0,"After close reading, update inspection_protocol and acceptance_test for Annealed Refraction Chamber and attach the passage note to the listed proof capsule(s)."
