quote_candidate_id,source_note_id,source_candidate,public_file_label,quote_candidate_status,canonical_quote_candidate_id,candidate_short_excerpt,candidate_excerpt_word_count,candidate_location,quote_scan_status,quote_scan_scope,quote_extractor,selection_basis,human_verification_status,claim_boundary
QCN-8FCC5F65DFC6,SCN-8FCC5F65DFC6,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010),(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010).pdf,candidate_short_excerpt_selected,QCN-8FCC5F65DFC6,"Section 1199 of the Revised Statutes of 1877 provided that the judge advocate general "" shall receive, revise and...",18,p.34,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-6CB2529BF5F6,SCN-6CB2529BF5F6,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris Military Justice A Guide to the Issues Praeger (2010) PDOC,(Contemporary Military Strategic and Security Issues) Lawrence J. Morris - Military Justice A Guide to the Issues - Praeger (2010) PDOC.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-8FCC5F65DFC6,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-B24D46420432,SCN-B24D46420432,(Handbooks of Sociology and Social Research) Giuseppe Caforio Handbook of the Sociology of the Military Springer (2006) PDOC,(Handbooks of Sociology and Social Research) Giuseppe Caforio - Handbook of the Sociology of the Military - Springer (2006) PDOC.pdf,candidate_short_excerpt_selected,QCN-B24D46420432,In many of the countries where military sociology has a recognized status a sociologist is present as a...,18,p.54,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-835AC475F307,SCN-835AC475F307,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006),(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,candidate_short_excerpt_selected,QCN-835AC475F307,Also worthy of careful study is the unique nature of the relationship of the British intelligence community with...,18,p.57,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-1C2F85CADA9D,SCN-1C2F85CADA9D,(Intelligence and the Quest for Security) Loch K. Johnson Strategic Intelligence [Five Volumes]. vol 1 5 Praeger (2006) (3),(Intelligence and the Quest for Security) Loch K. Johnson - Strategic Intelligence [Five Volumes]. vol 1 - 5 - Praeger (2006) (3).pdf,duplicate_source_uses_canonical_quote_candidate,QCN-835AC475F307,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-AD6DD0F68C4E,SCN-AD6DD0F68C4E,(Military Profiles) Dennis Showalter William J. Astore Hindenburg Icon of German Militarism Potomac Books Inc. (2005) PDOC,(Military Profiles) Dennis Showalter William J. Astore - Hindenburg Icon of German Militarism - Potomac Books Inc. (2005) PDOC.pdf,candidate_short_excerpt_selected,QCN-AD6DD0F68C4E,"As struggles to de ﬁ ne Germany's military strategy raged be - hind the lines, Hindenburg strengthened his popular appeal...",18,p.44,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-9BA4C864525F,SCN-9BA4C864525F,(Praeger Security International) Richard D. Fisher Jr. China's Military Modernization Building for Regional and Global Reach Praeger (2008) PDOC,China's Military Modernization Building for Regional and Global Reach - Richard D. Fisher Jr..pdf,candidate_short_excerpt_selected,QCN-9BA4C864525F,Internal Weakness An additional concern is that what China may or may not do with its acceler - ating...,18,p.27,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-E8DB6F8BBA8E,SCN-E8DB6F8BBA8E,1601017 Conley KremlinPlaybook Web,1601017 Conley KremlinPlaybook Web.pdf,candidate_short_excerpt_selected,QCN-E8DB6F8BBA8E,"Since Central and Eastern Eu ­ rope's accession to NATO and the Eu ­ ro ­ pean Union, ­ there is no...",18,p.50,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-435546A29B4D,SCN-435546A29B4D,2015.219.Russian Thinkers text,2015.219.Russian - Thinkers text.pdf,candidate_short_excerpt_selected,QCN-435546A29B4D,RUSSIAN THINKERS ni * ISAIAH BERLIN Edited by Henry Hardy and Aileen Kelly With an Introduction by Aileen Kelly...,18,p.1,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 71.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-20BDBD96F8DB,SCN-20BDBD96F8DB,2015.219.Russian Thinkers text PDOC,2015.219.Russian - Thinkers text PDOC.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-435546A29B4D,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-0D0F1ADB001C,SCN-0D0F1ADB001C,2020 10 06 homeland threat assessment,2020 10 06 homeland - threat - assessment.pdf,candidate_short_excerpt_selected,QCN-0D0F1ADB001C,Department of Homeland Security Illegal Immigration to the United States The duration and severity of the COVID-19 pandemic...,18,p.23,scanned,first_26_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 73.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-E2062223DA89,SCN-E2062223DA89,2aMassage Techniques and Effects Presentation,2aMassage - Techniques - and - Effects - Presentation.pdf,candidate_short_excerpt_selected,QCN-E2062223DA89,"Qualities of Massage Application The effects that result from applying the same techniques will vary, according to variations...",18,p.15,scanned,first_35_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-744D896D2B90,SCN-744D896D2B90,2aMassage Techniques and Effects Presentation PDOC,2aMassage - Techniques - and - Effects - Presentation PDOC.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-E2062223DA89,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-365011923779,SCN-365011923779,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown.pdf,candidate_short_excerpt_selected,QCN-365011923779,"ON THE HISTORICAL UNITY OF RUSSIANS AND UKRAINIANS VLADIMIR PUTIN, AUTHOR Also Serhii Plokhy, Interviewed and Reactions UBI...",18,p.2,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 86.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-05585BDF61B2,SCN-05585BDF61B2,6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC Sean Brown (2),6E72397078C34C7486448CD590CB0DF7 vladimir putin historical unity of the russians and ukranians PDOC - Sean Brown (2).pdf,candidate_short_excerpt_selected,QCN-05585BDF61B2,"ON THE HISTORICAL UNITY OF RUSSIANS AND UKRAINIANS VLADIMIR PUTIN, AUTHOR Also Serhii Plokhy, Interviewed and Reactions UBI...",18,p.2,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 86.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-8562DD50764F,SCN-8562DD50764F,A Companion to Andrei Platonov's the Foundation Pit Thomas Seifrid,A Companion to Andrei Platonov's the Foundation Pit - Thomas Seifrid.pdf,candidate_short_excerpt_selected,QCN-8562DD50764F,"35 The phenomenon of Soviet "" proletarian "" or "" revolutionary "" literature was more varied than is sometimes assumed in the...",18,p.44,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-58C9C8E2A732,SCN-58C9C8E2A732,A Companion to Environmental Thought Peter Hay,A Companion to Environmental Thought - Peter Hay.pdf,candidate_short_excerpt_selected,QCN-58C9C8E2A732,He produced possibly the first detailed critique of the animal rights position from an ecocentric per - spective within...,18,p.40,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-B3F9223E9C27,SCN-B3F9223E9C27,A Companion to Middle High German Literature to the 14th Century Francis G. Gentry,A Companion to Middle High German Literature to the 14th Century - Francis G. Gentry.pdf,candidate_short_excerpt_selected,QCN-B3F9223E9C27,PT187. G46 2002 830. 9'0022 - dc21 2002066744 Die Deutsche Bibliothek - CIP-Einheitsaufnahme A companion to middle high German literature...,18,p.5,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-CA0BAD52076E,SCN-CA0BAD52076E,A Companion to Narrative Theory James Phelan et al,A Companion to Narrative Theory - James Phelan et al.pdf,candidate_short_excerpt_selected,QCN-CA0BAD52076E,Backscheider and Catherine Ingrassia 31 A Companion to Old Norse-Icelandic Literature and Culture Edited by Rory McTurk 32...,18,p.4,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-AF9C89389D55,SCN-AF9C89389D55,A Companion to Narrative Theory James Phelan et al (2),A Companion to Narrative Theory - James Phelan et al (2).pdf,candidate_short_excerpt_selected,QCN-AF9C89389D55,Backscheider and Catherine Ingrassia 31 A Companion to Old Norse-Icelandic Literature and Culture Edited by Rory McTurk 32...,18,p.4,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-80C6BF04C0DE,SCN-80C6BF04C0DE,A Critical Cinema PDOC,A Critical Cinema PDOC.pdf,candidate_short_excerpt_selected,QCN-80C6BF04C0DE,"While Anger has never ﬁ nished a ﬁ lm with dialogue, he has always taken his sound tracks very seriously...",18,p.29,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-1960A4A67353,SCN-1960A4A67353,A Critical Companion to Beowulf Andy Orchard,A Critical Companion to Beowulf - Andy Orchard.pdf,candidate_short_excerpt_selected,QCN-1960A4A67353,"And also my memory shall forever stand 38 A Critical Companion to ' Beowulf ' 95 For details, see, for...",18,p.59,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 84.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-FB6574A4B247,SCN-FB6574A4B247,A Historical Companion to Postcolonial Literatures Continental Europe and Its Empires Prem Poddar,A Historical Companion to Postcolonial Literatures - Continental Europe and Its Empires - Prem Poddar.pdf,candidate_short_excerpt_selected,QCN-FB6574A4B247,"A Historical Companion to Postcolonial Literatures - Continental Europe and its Empires Edited by Prem Poddar, Rajeev S.",17,p.3,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 9; score: 89.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-5BB9D6F47DD1,SCN-5BB9D6F47DD1,A History of Western Political Thought J. S. McClelland et al,A History of Western Political Thought - J. S. McClelland et al.pdf,candidate_short_excerpt_selected,QCN-5BB9D6F47DD1,"That was the intellectual world in which Socrates lived and died, and, Plato wrote, a world in which...",18,p.29,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 82.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-8941B35A8C5F,SCN-8941B35A8C5F,A History of Western Political Thought J. S. McClelland et al (2),A History of Western Political Thought - J. S. McClelland et al (2).pdf,candidate_short_excerpt_selected,QCN-8941B35A8C5F,"That was the intellectual world in which Socrates lived and died, and, Plato wrote, a world in which...",18,p.29,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 7; score: 82.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-59F78823ACAB,SCN-59F78823ACAB,A Military Atlas of the First World War Arthur S. Banks et al,A Military Atlas of the First World War - Arthur S. Banks et al.pdf,no_quote_candidate_selected,,,0,,scanned,first_80_pages,PyMuPDF,"No short, clean, source-relevant sentence met the automatic candidate standard.",not_human_verified,Requires manual close reading before quotation or page-specific citation.
QCN-5ACDAF3817B8,SCN-5ACDAF3817B8,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning Candace Schlein PDOC,A Reader of Narrative and Critical Lenses on Intercultural Teaching and Learning - Candace Schlein PDOC.pdf,candidate_short_excerpt_selected,QCN-5ACDAF3817B8,An inclusive vision of education for equity and social justice engag - es teacher educators and future teachers in...,18,p.60,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 9; score: 100.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-7E0AC3CDB83C,SCN-7E0AC3CDB83C,A Tradecraft Primer Structured Analytic Techniques,A Tradecraft Primer Structured Analytic Techniques.pdf,candidate_short_excerpt_selected,QCN-7E0AC3CDB83C,"VALUE ADDED Like Devil's Advocacy and Team A / Team B techniques, Red Team analysis is aimed at freeing...",18,p.35,scanned,first_45_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-DFBEB15F84CA,SCN-DFBEB15F84CA,A Tradecraft Primer Structured Analytic Techniques (2),A Tradecraft Primer Structured Analytic Techniques (2).pdf,candidate_short_excerpt_selected,QCN-DFBEB15F84CA,"VALUE ADDED Like Devil's Advocacy and Team A / Team B techniques, Red Team analysis is aimed at freeing...",18,p.35,scanned,first_45_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 5; score: 68.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-F1A84FB521AC,SCN-F1A84FB521AC,"AI, Authorship, & Copyright Artificial Intelligence (Generative) Resources Guides at Georgetown University","AI, Authorship, & Copyright - Artificial Intelligence (Generative) Resources - Guides at Georgetown University.pdf",candidate_short_excerpt_selected,QCN-F1A84FB521AC,Disclosing the Use of Generative AI As the use of generative AI resources throughout all stages of research...,18,p.7,scanned,first_8_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 3; score: 52.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-60315D0DF139,SCN-60315D0DF139,AID Framework - Statement Builder,comparative - grand - strategy - a - framework - and - cases - 0198840845 - 9780198840848 compress.pdf,candidate_short_excerpt_selected,QCN-60315D0DF139,"She is a member of the Council on Foreign Relations, Women in International Security, Inter - national Studies Association...",18,p.12,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-CFCD4FE754B5,SCN-CFCD4FE754B5,"America's Strategic Blunders Intelligence Analysis and National Security Policy, 1936-1991 Willard C. Matthias",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,candidate_short_excerpt_selected,QCN-CFCD4FE754B5,"America's Strategic Blunders: intelligence analysis and national security policy, 1936-1991 / Willard C.",12,p.4,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-EC59009B9C56,SCN-EC59009B9C56,"America's Strategic Blunders: Intelligence Analysis and National Security Policy, 1936-1991",OceanofPDF.com Americas Strategic Blunders Intelligence Analysis and National Security Policy 1936 - 1991 - Willard C Matthias PDOC.pdf,duplicate_source_uses_canonical_quote_candidate,QCN-CFCD4FE754B5,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-A918AE76821D,SCN-A918AE76821D,American Political Development and Poli,American Political Development and Poli.pdf,candidate_short_excerpt_selected,QCN-A918AE76821D,' The Burdens of Urban History: The Theory of the State in Recent American Social History. ' Studies in American...,18,p.15,scanned,first_18_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 70.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-1396D405AA6B,SCN-1396D405AA6B,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick,American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,candidate_short_excerpt_selected,QCN-1396D405AA6B,The Cold War rivalry between the United States and the Soviet Union affected every facet of America's interaction...,18,p.21,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 8; score: 92.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-301C752470B3,SCN-301C752470B3,American Spies Espionage Against the United States From the Cold War to the Present Michael J. Sulick (2),American Spies Espionage Against the United States From the Cold War to the Present - Michael J. Sulick (2).pdf,duplicate_source_uses_canonical_quote_candidate,QCN-1396D405AA6B,,0,,not_scanned_duplicate_public_label,,,Duplicate public source label; public package avoids repeating verbatim candidate excerpts.,not_human_verified,Use the canonical quote candidate only as a selection cue until a human verifies exact wording and citation location.
QCN-84B8CA0A7718,SCN-84B8CA0A7718,"Analyzing Intelligence: Origins, Obstacles, and Innovations","Analyzing Intelligence Origins, Obstacles, and Innovations - Roger Z. George (2).pdf",candidate_short_excerpt_selected,QCN-84B8CA0A7718,"See John Helgerson, Getting to Know the President: CIA Brie ﬁ ngs of Presidential Can - didates 1952-1992 ( Washington, D....",18,p.67,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
QCN-E037F1687489,SCN-E037F1687489,Another Bloody Century: Future Warfare,Another Bloody Century Future Warfare - Colin S. Gray.pdf,candidate_short_excerpt_selected,QCN-E037F1687489,"Because of its wealth, strategic significance and cultural dynamism, the United States is wont to scoop the pool...",18,p.41,scanned,first_80_pages,PyMuPDF,Machine-selected by overlap with source/application terms; overlap terms: 6; score: 76.0.,not_human_verified,"Candidate excerpt is a selection cue, not a release-ready quotation, until exact wording, page or location, and context are human verified."
